file,loc,noc,bf,bug,buggy
internal::core::search::indexing::IndexBinaryFolder ,122,64,3,0,N
internal::compiler::codegen::CachedIndexEntry ,4,1,0,0,N
internal::compiler::ast::ASTNode ,484,119,55,1,Y
internal::compiler::lookup::MemberTypeBinding ,33,27,3,0,N
internal::eval::CodeSnippetParser ,673,92,15,0,N
internal::formatter::Location ,16,15,13,0,N
core::dom::SingleMemberAnnotation ,87,29,5,0,N
internal::compiler::parser::NLSTag ,9,6,6,0,N
internal::compiler::parser::RecoveredBlock ,250,51,7,0,N
internal::core::CompilationUnitElementInfo ,9,22,1,0,N
core::dom::MemberRef ,95,24,3,0,N
internal::core::util::Annotation ,42,10,1,0,N
internal::codeassist::select::SelectionOnQualifiedNameReference ,42,31,4,0,N
internal::compiler::flow::LoopingFlowContext ,387,51,11,0,N
internal::core::util::KeyKind ,53,12,7,0,N
core::dom::ChildListPropertyDescriptor ,14,8,1,0,N
internal::compiler::ast::TypeDeclaration ,624,192,60,3,Y
core::dom::ASTRequestor ,20,11,2,0,N
internal::core::search::AbstractJavaSearchScope ,0,0,1,0,N
core::search::SearchPattern ,1126,90,37,1,Y
core::jdom::DOMFactory ,52,34,3,0,N
internal::core::util::SignatureAttribute ,16,5,0,0,N
internal::core::BinaryMember ,127,42,10,1,Y
internal::compiler::ast::MessageSend ,494,167,37,4,Y
internal::core::XMLWriter ,3,19,4,0,N
internal::compiler::parser::JavadocParser ,795,91,59,3,Y
internal::eval::CodeSnippetSingleNameReference ,591,75,16,2,Y
internal::compiler::parser::RecoveredInitializer ,166,53,6,0,N
internal::core::util::WeakHashSetOfCharArray ,144,3,1,0,N
internal::compiler::ast::Expression ,760,148,57,0,N
internal::compiler::classfmt::MethodInfoWithAnnotations ,35,1,0,0,N
internal::core::util::ConstantPool ,72,9,0,0,N
internal::compiler::ast::ArrayTypeReference ,52,46,4,0,N
internal::compiler::impl::IntConstant ,55,36,1,0,N
internal::core::search::matching::SuperTypeReferencePattern ,214,81,11,1,Y
internal::codeassist::complete::CompletionOnQualifiedAllocationExpression ,32,28,0,0,N
core::dom::SuperFieldAccess ,96,38,10,0,N
internal::core::ExternalPackageFragmentRoot ,56,6,5,0,N
internal::compiler::lookup::MethodScope ,378,88,24,1,Y
internal::compiler::CompilationResult ,245,80,22,1,Y
internal::core::util::KeyToSignature ,258,31,18,0,N
internal::core::jdom::DOMType ,419,57,11,0,N
internal::compiler::ast::ForStatement ,343,85,18,0,N
internal::compiler::lookup::MissingTypeBinding ,34,1,1,0,N
internal::compiler::ast::TrueLiteral ,39,23,2,0,N
internal::codeassist::complete::CompletionOnKeyword3 ,21,10,2,0,N
internal::formatter::FormatJavadocText ,197,6,7,0,N
internal::core::ImportDeclarationElementInfo ,0,9,3,0,N
internal::formatter::comment::SubstitutionTextReader ,81,6,4,0,N
internal::compiler::ast::NormalAnnotation ,45,17,2,0,N
internal::compiler::lookup::SourceTypeBinding ,1461,223,74,6,Y
internal::core::SetContainerOperation ,167,9,5,0,N
internal::compiler::lookup::AnnotationBinding ,151,11,4,0,N
internal::core::LRUCacheEnumerator ,11,14,0,0,N
internal::core::JavaModelInfo ,27,26,2,0,N
core::dom::MethodDeclaration ,319,72,15,0,N
internal::core::search::matching::AndPattern ,50,49,4,1,Y
internal::eval::CodeSnippetSuperReference ,25,25,1,0,N
internal::core::search::matching::OrPattern ,69,59,6,1,Y
internal::core::util::HashSetOfArray ,109,2,1,0,N
internal::core::util::ClassFileStruct ,85,13,0,0,N
internal::codeassist::select::SelectionOnSingleTypeReference ,35,36,3,0,N
internal::compiler::env::AccessRuleSet ,62,15,9,0,N
internal::core::search::indexing::IndexAllProject ,207,109,10,0,N
internal::compiler::codegen::ObjectCache ,83,30,1,0,N
internal::core::util::ClassFileAttribute ,18,9,0,0,N
internal::compiler::ast::ForeachStatement ,451,83,24,2,Y
core::dom::NodeEventHandler ,43,13,2,0,N
internal::eval::CodeSnippetClassFile ,166,60,12,1,Y
internal::compiler::flow::FinallyFlowContext ,264,35,8,0,N
internal::compiler::SourceJavadocParser ,107,12,6,0,N
internal::compiler::lookup::UnresolvedReferenceBinding ,64,49,7,0,N
internal::core::CreateImportOperation ,83,48,8,0,N
internal::core::builder::ReferenceCollection ,140,27,6,1,Y
internal::compiler::ast::InstanceOfExpression ,70,73,13,1,Y
core::dom::NodeSearcher ,11,8,1,0,N
internal::core::util::AnnotationComponent ,27,5,0,0,N
core::dom::BreakStatement ,59,33,6,0,N
internal::core::ASTHolderCUInfo ,0,12,4,0,N
internal::codeassist::complete::CompletionOnMethodReturnType ,12,10,1,0,N
internal::compiler::ast::ImportReference ,35,43,2,0,N
internal::core::builder::ClasspathJar ,108,40,7,0,N
internal::eval::VariablesInfo ,25,17,1,0,N
internal::core::DeleteResourceElementsOperation ,90,51,10,0,N
internal::core::InternalNamingConventions ,377,23,9,2,Y
internal::core::search::IndexQueryRequestor ,0,8,1,0,N
internal::compiler::flow::SwitchFlowContext ,23,41,5,0,N
core::dom::LineComment ,31,18,3,0,N
internal::compiler::ast::JavadocSingleNameReference ,30,16,10,0,N
internal::compiler::ast::SubRoutineStatement ,31,18,10,0,N
internal::compiler::ProcessTaskManager ,140,6,3,0,N
core::dom::SwitchStatement ,86,38,9,0,N
internal::core::search::matching::SuperTypeReferenceLocator ,67,21,4,1,Y
internal::core::SourceMethod ,222,83,17,0,N
internal::core::hierarchy::IndexBasedHierarchyBuilder ,423,131,33,0,N
internal::core::util::CommentRecorderScanner ,10,7,0,1,Y
internal::core::util::StackMapAttribute ,33,4,1,0,N
core::dom::SuperMethodInvocation ,136,44,11,0,N
internal::codeassist::complete::CompletionOnExplicitConstructorCall ,41,27,0,0,N
internal::formatter::old::CodeFormatter ,131,18,5,0,N
internal::compiler::lookup::CaptureBinding ,210,32,20,0,N
internal::compiler::lookup::ParameterizedMethodBinding ,34,48,14,0,N
internal::compiler::ast::FieldDeclaration ,241,120,41,0,N
internal::compiler::lookup::InferenceContext ,116,4,2,0,N
core::dom::AssertStatement ,98,37,8,0,N
internal::core::search::matching::PackageDeclarationPattern ,17,48,2,1,Y
core::dom::InternalASTRewrite ,163,14,3,0,N
internal::compiler::classfmt::ClassFileReader ,724,110,27,0,N
internal::core::search::JavaSearchParticipant ,46,20,3,0,N
internal::core::ImportContainer ,63,43,8,0,N
core::dom::TypeParameter ,91,35,5,0,N
internal::compiler::env::NameEnvironmentAnswer ,34,29,2,0,N
core::CompletionContext ,123,17,14,1,Y
internal::core::index::EntryResult ,56,18,2,0,N
internal::compiler::problem::AbortCompilation ,14,25,8,0,N
core::dom::SynchronizedStatement ,106,37,8,0,N
core::dom::DefaultCommentMapper ,393,44,24,0,N
internal::core::util::EnclosingMethodAttribute ,50,8,0,0,N
internal::compiler::ast::ArrayInitializer ,195,71,17,0,N
internal::codeassist::complete::CompletionOnMemberValueName ,9,0,0,0,N
internal::compiler::impl::ShortConstant ,37,34,1,0,N
internal::core::search::matching::OrLocator ,124,26,8,0,N
internal::core::OpenableElementInfo ,6,16,1,0,N
internal::compiler::ast::IntLiteralMinValue ,7,15,0,0,N
internal::core::search::matching::AndLocator ,74,2,2,0,N
internal::compiler::codegen::CharArrayCache ,118,33,4,0,N
internal::core::search::matching::MethodLocator ,526,106,57,3,Y
core::BufferChangedEvent ,18,21,0,0,N
internal::core::NullBuffer ,3,1,1,0,N
core::dom::ReturnStatement ,60,33,6,0,N
internal::core::CopyPackageFragmentRootOperation ,223,34,12,1,Y
internal::core::MultiOperation ,165,27,3,0,N
internal::core::ProjectReferenceChange ,77,7,3,1,Y
internal::compiler::ast::QualifiedSuperReference ,38,37,3,1,Y
internal::core::search::processing::JobManager ,383,115,16,0,N
internal::core::search::matching::MemberDeclarationVisitor ,142,0,1,0,N
core::dom::SimpleName ,124,57,13,0,N
internal::eval::CodeSnippetToCuMapper ,233,75,17,0,N
internal::core::builder::JavaBuilder ,661,166,31,0,N
core::dom::AnnotationTypeDeclaration ,98,26,6,0,N
internal::compiler::util::SimpleNameVector ,64,28,1,0,N
internal::core::SearchableEnvironment ,144,89,27,1,Y
core::dom::LabeledStatement ,107,37,9,0,N
internal::core::search::AbstractSearchScope ,12,20,1,0,N
internal::core::hierarchy::HierarchyBuilder ,242,81,12,0,N
internal::compiler::ast::Argument ,132,79,13,0,N
internal::codeassist::MissingTypesGuesser ,186,3,3,0,N
internal::core::util::JavaElementFinder ,89,0,1,0,N
internal::compiler::flow::ConditionalFlowInfo ,145,32,4,0,N
internal::core::search::JavaWorkspaceScope ,155,46,8,0,N
internal::core::MoveResourceElementsOperation ,9,27,2,0,N
internal::core::BatchInitializationMonitor ,55,0,1,0,N
internal::compiler::util::Util ,513,86,25,1,Y
internal::core::CancelableProblemFactory ,9,6,6,0,N
internal::core::LocalVariable ,222,34,13,1,Y
internal::compiler::ast::MethodDeclaration ,198,83,17,2,Y
internal::core::ResolvedBinaryType ,26,7,2,0,N
internal::compiler::lookup::InnerEmulationDependency ,4,16,0,0,N
internal::core::CreateTypeOperation ,62,40,7,0,N
internal::core::hierarchy::RegionBasedHierarchyBuilder ,156,36,7,0,N
internal::core::util::PublicScanner ,3449,134,43,0,N
internal::compiler::ast::Block ,97,50,5,0,N
internal::core::search::matching::MatchLocator ,1531,380,135,5,Y
internal::compiler::ast::ExplicitConstructorCall ,364,84,21,1,Y
core::dom::SimpleType ,72,41,9,0,N
internal::core::dom::rewrite::ASTRewriteFormatter ,258,33,8,0,N
internal::core::builder::ProblemFactory ,9,11,0,0,N
internal::core::ExternalFolderChange ,27,2,2,0,N
internal::compiler::ClassFilePool ,30,4,0,0,N
internal::core::hierarchy::HierarchyType ,17,13,0,0,N
internal::compiler::batch::Main ,2557,396,117,2,Y
internal::compiler::ast::CombinedBinaryExpression ,266,3,4,0,N
internal::core::util::RuntimeInvisibleAnnotationsAttribute ,22,6,0,0,N
internal::antadapter::AntAdapterMessages ,12,6,1,0,N
internal::core::search::indexing::SaveIndex ,30,20,0,0,N
internal::core::JavaModel ,235,111,28,1,Y
internal::compiler::lookup::FieldBinding ,251,70,16,3,Y
internal::compiler::lookup::ParameterizedFieldBinding ,24,18,5,0,N
internal::codeassist::complete::CompletionOnPackageReference ,12,27,0,0,N
internal::codeassist::select::SelectionOnFieldType ,10,11,1,0,N
internal::compiler::lookup::ProblemBinding ,13,15,1,0,N
internal::core::CreateTypeHierarchyOperation ,35,20,1,0,N
core::search::MethodReferenceMatch ,13,34,9,1,Y
internal::eval::CodeSnippetQualifiedNameReference ,551,72,9,2,Y
internal::codeassist::complete::CompletionJavadocParser ,768,32,26,0,N
core::dom::EmptyStatement ,29,29,5,0,N
core::dom::SimplePropertyDescriptor ,14,8,1,0,N
internal::core::SourceRange ,28,25,1,0,N
internal::core::BinaryType ,698,182,45,1,Y
core::search::TypeParameterDeclarationMatch ,3,2,1,0,N
internal::core::util::LocalVariableTypeAttribute ,21,7,0,0,N
core::util::ByteCodeVisitorAdapter ,612,10,0,1,Y
internal::compiler::ast::ThisReference ,78,43,3,0,N
internal::compiler::Compiler ,407,139,32,1,Y
internal::compiler::flow::FlowContext ,379,71,17,2,Y
internal::codeassist::complete::CompletionOnQualifiedNameReference ,36,34,5,0,N
internal::core::DeletePackageFragmentRootOperation ,120,20,3,0,N
internal::compiler::ast::BreakStatement ,72,12,6,0,N
internal::formatter::FormatJavadocBlock ,238,6,8,0,N
internal::compiler::classfmt::FieldInfo ,305,65,11,0,N
internal::codeassist::select::SelectionJavadoc ,80,5,3,0,N
internal::core::util::LineNumberAttribute ,23,13,0,0,N
internal::core::PackageFragmentRootInfo ,110,52,11,0,N
internal::core::dom::rewrite::ASTRewriteFlattener ,92,23,8,0,N
core::dom::ForStatement ,117,44,11,0,N
internal::compiler::parser::diagnose::DiagnoseParser ,2262,42,10,0,N
core::dom::ASTNode ,657,111,26,0,N
internal::codeassist::InternalCompletionContext ,48,12,12,1,Y
internal::compiler::ast::IfStatement ,192,77,15,0,N
core::dom::CharacterLiteral ,220,48,9,1,Y
internal::compiler::lookup::SignatureWrapper ,47,8,0,0,N
internal::compiler::DefaultErrorHandlingPolicies ,40,17,0,0,N
internal::core::search::BasicSearchEngine ,712,64,41,1,Y
internal::compiler::batch::FileFinder ,23,30,2,0,N
internal::formatter::comment::MultiCommentRegion ,121,6,4,0,N
internal::eval::CodeSnippetCompiler ,24,34,3,0,N
core::dom::Message ,27,10,2,0,N
internal::compiler::ast::SingleNameReference ,787,149,40,6,Y
internal::core::Openable ,327,139,22,0,N
internal::compiler::lookup::ProblemMethodBinding ,8,22,2,0,N
internal::codeassist::impl::AssistInitializer ,13,0,1,0,N
internal::formatter::comment::SingleCommentLine ,48,2,1,0,N
internal::compiler::codegen::DoubleCache ,88,29,1,0,N
internal::core::util::LRUCache ,276,35,2,0,N
internal::core::search::matching::DeclarationOfReferencedTypesPattern ,7,32,5,1,Y
internal::compiler::util::SimpleLookupTable ,127,6,2,0,N
internal::compiler::lookup::ProblemReferenceBinding ,48,30,2,0,N
internal::core::NamedMember ,178,21,8,0,N
internal::core::JarPackageFragmentRootInfo ,4,16,2,0,N
core::dom::ASTParser ,426,105,38,1,Y
internal::core::SourceMethodInfo ,12,3,0,0,N
internal::core::JavaElementInfo ,47,24,3,0,N
internal::core::dom::rewrite::NodeRewriteEvent ,59,8,1,0,N
internal::compiler::ast::AND_AND_Expression ,230,51,12,0,N
internal::core::search::indexing::SourceIndexer ,35,57,10,1,Y
core::dom::ThisExpression ,59,37,8,0,N
internal::core::builder::SourceFile ,68,38,5,0,N
core::ElementChangedEvent ,10,29,0,0,N
internal::formatter::FormatterCommentParser ,495,12,17,5,Y
core::dom::StructuralPropertyDescriptor ,44,8,1,0,N
internal::compiler::lookup::BlockScope ,546,142,30,1,Y
internal::compiler::lookup::LookupEnvironment ,1069,155,44,3,Y
core::dom::BodyDeclaration ,74,39,6,0,N
core::dom::ConditionalExpression ,141,35,8,0,N
internal::compiler::lookup::LocalVariableBinding ,177,53,8,0,N
internal::core::JavaModelOperation ,528,89,29,0,N
internal::core::CopyResourceElementsOperation ,516,130,26,1,Y
core::dom::VariableDeclarationFragment ,127,42,10,0,N
internal::compiler::codegen::CaseLabel ,46,26,3,0,N
internal::core::DeleteElementsOperation ,102,59,12,0,N
internal::codeassist::select::SelectionOnMessageSend ,65,42,2,0,N
internal::compiler::lookup::PackageBinding ,136,58,7,4,Y
internal::core::search::TypeNameMatchRequestorWrapper ,121,10,8,0,N
core::dom::TagElement ,70,30,9,0,N
core::dom::CompilationUnit ,344,119,38,0,N
core::dom::ExpressionStatement ,72,37,8,0,N
internal::core::search::matching::PossibleMatch ,112,37,13,0,N
internal::compiler::lookup::ArrayBinding ,190,80,16,0,N
core::formatter::DefaultCodeFormatterConstants ,177,118,62,2,Y
internal::compiler::ast::JavadocArgumentExpression ,66,36,15,0,N
internal::core::jdom::DOMField ,328,41,4,0,N
internal::compiler::util::HashtableOfObjectToInt ,117,6,1,0,N
core::util::ClassFileBytesDisassembler ,0,10,2,0,N
internal::codeassist::complete::CompletionParser ,4390,243,102,1,Y
internal::core::search::matching::LocalVariableLocator ,65,28,6,1,Y
core::dom::PrimitiveType ,59,33,7,0,N
internal::compiler::impl::DoubleConstant ,39,36,1,0,N
internal::eval::CodeSnippetEnvironment ,17,19,1,0,N
internal::core::jdom::DOMNode ,482,37,4,0,N
internal::core::JarEntryResource ,57,1,2,0,N
internal::compiler::ast::LongLiteralMinValue ,7,17,0,0,N
internal::eval::VariablesEvaluator ,255,45,4,0,N
core::dom::FieldAccess ,109,41,10,0,N
internal::compiler::batch::ClasspathSourceJar ,7,5,2,0,N
internal::formatter::BinaryExpressionFragmentBuilder ,42,30,9,0,N
internal::core::TypeParameter ,57,15,5,0,N
internal::core::util::AnnotationComponentValue ,131,13,2,0,N
internal::codeassist::complete::CompletionNodeFound ,3,20,1,0,N
core::dom::Name ,22,23,2,0,N
internal::formatter::comment::CommentRange ,136,4,2,0,N
internal::compiler::ast::JavadocImplicitTypeReference ,91,15,9,0,N
internal::compiler::util::HashSetOfInt ,94,1,1,0,N
internal::core::util::MementoTokenizer ,80,8,2,0,N
internal::core::jdom::SimpleDOMBuilder ,104,64,9,0,N
internal::core::util::DefaultStackMapFrame ,51,3,2,0,N
internal::formatter::FormatJavadocNode ,27,4,6,0,N
internal::core::search::matching::MatchLocatorParser ,681,108,36,0,N
core::dom::ParenthesizedExpression ,71,35,8,0,N
internal::compiler::AbstractAnnotationProcessorManager ,0,9,2,0,N
internal::compiler::lookup::UpdatedMethodBinding ,7,6,0,1,Y
core::dom::ArrayAccess ,109,35,8,0,N
internal::codeassist::complete::CompletionOnStringLiteral ,13,1,1,0,N
internal::core::hierarchy::RegionBasedTypeHierarchy ,103,37,9,0,N
internal::core::PackageFragmentRoot ,554,156,39,1,Y
core::util::CompilationUnitSorter ,19,44,5,0,N
internal::compiler::ast::Annotation ,357,77,26,1,Y
internal::compiler::ast::JavadocFieldReference ,87,43,22,1,Y
internal::codeassist::select::SelectionOnSingleNameReference ,40,32,3,0,N
internal::core::dom::rewrite::RewriteEventStore ,474,24,6,0,N
internal::compiler::ast::EmptyStatement ,32,27,1,0,N
internal::compiler::ClassFile ,6113,225,69,6,Y
internal::core::ClasspathChange ,469,14,11,1,Y
internal::compiler::ast::StringLiteral ,72,37,7,0,N
core::Signature ,841,126,37,1,Y
internal::compiler::classfmt::AnnotationMethodInfoWithAnnotations ,26,1,0,0,N
internal::compiler::parser::RecoveryScanner ,191,7,6,0,N
core::dom::Type ,24,20,2,0,N
core::CompletionRequestorAdapter ,42,20,0,0,N
core::compiler::InvalidInputException ,3,24,1,0,N
internal::core::dom::rewrite::LineCommentEndOffsets ,51,2,3,0,N
internal::compiler::parser::Scanner ,3449,238,85,1,Y
internal::compiler::ast::Initializer ,81,53,4,0,N
core::dom::VariableDeclarationStatement ,155,57,11,0,N
internal::core::search::matching::DeclarationOfReferencedMethodsPattern ,7,30,4,1,Y
core::compiler::CharOperation ,845,97,20,0,N
internal::codeassist::CompletionElementNotifier ,136,0,1,0,N
internal::core::search::indexing::BinaryIndexer ,707,89,17,0,N
internal::compiler::ast::CompilationUnitDeclaration ,536,96,29,2,Y
internal::compiler::ast::PrefixExpression ,28,35,1,0,N
core::dom::DefaultValuePairBinding ,20,2,5,0,N
internal::core::search::matching::TypeDeclarationLocator ,69,17,2,1,Y
internal::compiler::flow::FlowInfo ,66,42,6,0,N
core::dom::Block ,47,28,5,0,N
core::dom::MethodRefParameter ,121,24,5,0,N
internal::core::search::IndexSelector ,145,54,12,1,Y
internal::compiler::ast::Wildcard ,71,27,2,0,N
core::dom::ArrayType ,87,38,9,0,N
core::search::FieldReferenceMatch ,11,26,3,1,Y
core::search::SearchDocument ,16,21,2,1,Y
core::ToolFactory ,63,94,15,0,N
internal::core::util::DefaultBytecodeVisitor ,1585,55,9,2,Y
core::dom::ThrowStatement ,72,37,8,0,N
internal::core::search::matching::InternalReferenceMatch ,6,0,1,1,Y
internal::codeassist::complete::CompletionOnAnnotationMemberValuePair ,32,0,0,0,N
internal::codeassist::ThrownExceptionFinder ,75,2,3,0,N
internal::core::DefaultWorkingCopyOwner ,10,22,1,0,N
