file,loc,noc,bf,bug
internal::core::search::indexing::IndexBinaryFolder ,122,64,3,0,internal core search indexing index binary folder 
internal::compiler::codegen::CachedIndexEntry ,4,1,0,0,internal compiler codegen cached index entry 
internal::compiler::ast::ASTNode ,484,119,55,1,internal compiler ast node 
internal::compiler::lookup::MemberTypeBinding ,33,27,3,0,internal compiler lookup member type binding 
internal::eval::CodeSnippetParser ,673,92,15,0,internal eval code snippet parser 
internal::formatter::Location ,16,15,13,0,internal formatter location 
core::dom::SingleMemberAnnotation ,87,29,5,0,core dom single member annotation 
internal::compiler::parser::NLSTag ,9,6,6,0,internal compiler parser tag 
internal::compiler::parser::RecoveredBlock ,250,51,7,0,internal compiler parser recovered block 
internal::core::CompilationUnitElementInfo ,9,22,1,0,internal core compilation unit element info 
core::dom::MemberRef ,95,24,3,0,core dom member ref 
internal::core::util::Annotation ,42,10,1,0,internal core util annotation 
internal::codeassist::select::SelectionOnQualifiedNameReference ,42,31,4,0,internal codeassist select selection on qualified name reference 
internal::compiler::flow::LoopingFlowContext ,387,51,11,0,internal compiler flow looping flow context 
internal::core::util::KeyKind ,53,12,7,0,internal core util key kind 
core::dom::ChildListPropertyDescriptor ,14,8,1,0,core dom child list property descriptor 
internal::compiler::ast::TypeDeclaration ,624,192,60,3,internal compiler ast type declaration 
core::dom::ASTRequestor ,20,11,2,0,core dom requestor 
internal::core::search::AbstractJavaSearchScope ,0,0,1,0,internal core search abstract java search scope 
core::search::SearchPattern ,1126,90,37,1,core search search pattern 
core::jdom::DOMFactory ,52,34,3,0,core jdom factory 
internal::core::util::SignatureAttribute ,16,5,0,0,internal core util signature attribute 
internal::core::BinaryMember ,127,42,10,1,internal core binary member 
internal::compiler::ast::MessageSend ,494,167,37,4,internal compiler ast message send 
internal::core::XMLWriter ,3,19,4,0,internal core writer 
internal::compiler::parser::JavadocParser ,795,91,59,3,internal compiler parser javadoc parser 
internal::eval::CodeSnippetSingleNameReference ,591,75,16,2,internal eval code snippet single name reference 
internal::compiler::parser::RecoveredInitializer ,166,53,6,0,internal compiler parser recovered initializer 
internal::core::util::WeakHashSetOfCharArray ,144,3,1,0,internal core util weak hash set of char array 
internal::compiler::ast::Expression ,760,148,57,0,internal compiler ast expression 
internal::compiler::classfmt::MethodInfoWithAnnotations ,35,1,0,0,internal compiler classfmt method info with annotations 
internal::core::util::ConstantPool ,72,9,0,0,internal core util constant pool 
internal::compiler::ast::ArrayTypeReference ,52,46,4,0,internal compiler ast array type reference 
internal::compiler::impl::IntConstant ,55,36,1,0,internal compiler impl int constant 
internal::core::search::matching::SuperTypeReferencePattern ,214,81,11,1,internal core search matching super type reference pattern 
internal::codeassist::complete::CompletionOnQualifiedAllocationExpression ,32,28,0,0,internal codeassist complete completion on qualified allocation expression 
core::dom::SuperFieldAccess ,96,38,10,0,core dom super field access 
internal::core::ExternalPackageFragmentRoot ,56,6,5,0,internal core external package fragment root 
internal::compiler::lookup::MethodScope ,378,88,24,1,internal compiler lookup method scope 
internal::compiler::CompilationResult ,245,80,22,1,internal compiler compilation result 
internal::core::util::KeyToSignature ,258,31,18,0,internal core util key to signature 
internal::core::jdom::DOMType ,419,57,11,0,internal core jdom type 
internal::compiler::ast::ForStatement ,343,85,18,0,internal compiler ast for statement 
internal::compiler::lookup::MissingTypeBinding ,34,1,1,0,internal compiler lookup missing type binding 
internal::compiler::ast::TrueLiteral ,39,23,2,0,internal compiler ast true literal 
internal::codeassist::complete::CompletionOnKeyword3 ,21,10,2,0,internal codeassist complete completion on keyword 
internal::formatter::FormatJavadocText ,197,6,7,0,internal formatter format javadoc text 
internal::core::ImportDeclarationElementInfo ,0,9,3,0,internal core import declaration element info 
internal::formatter::comment::SubstitutionTextReader ,81,6,4,0,internal formatter comment substitution text reader 
internal::compiler::ast::NormalAnnotation ,45,17,2,0,internal compiler ast normal annotation 
internal::compiler::lookup::SourceTypeBinding ,1461,223,74,6,internal compiler lookup source type binding 
internal::core::SetContainerOperation ,167,9,5,0,internal core set container operation 
internal::compiler::lookup::AnnotationBinding ,151,11,4,0,internal compiler lookup annotation binding 
internal::core::LRUCacheEnumerator ,11,14,0,0,internal core cache enumerator 
internal::core::JavaModelInfo ,27,26,2,0,internal core java model info 
core::dom::MethodDeclaration ,319,72,15,0,core dom method declaration 
internal::core::search::matching::AndPattern ,50,49,4,1,internal core search matching and pattern 
internal::eval::CodeSnippetSuperReference ,25,25,1,0,internal eval code snippet super reference 
internal::core::search::matching::OrPattern ,69,59,6,1,internal core search matching or pattern 
internal::core::util::HashSetOfArray ,109,2,1,0,internal core util hash set of array 
internal::core::util::ClassFileStruct ,85,13,0,0,internal core util class file struct 
internal::codeassist::select::SelectionOnSingleTypeReference ,35,36,3,0,internal codeassist select selection on single type reference 
internal::compiler::env::AccessRuleSet ,62,15,9,0,internal compiler env access rule set 
internal::core::search::indexing::IndexAllProject ,207,109,10,0,internal core search indexing index all project 
internal::compiler::codegen::ObjectCache ,83,30,1,0,internal compiler codegen object cache 
internal::core::util::ClassFileAttribute ,18,9,0,0,internal core util class file attribute 
internal::compiler::ast::ForeachStatement ,451,83,24,2,internal compiler ast foreach statement 
core::dom::NodeEventHandler ,43,13,2,0,core dom node event handler 
internal::eval::CodeSnippetClassFile ,166,60,12,1,internal eval code snippet class file 
internal::compiler::flow::FinallyFlowContext ,264,35,8,0,internal compiler flow finally flow context 
internal::compiler::SourceJavadocParser ,107,12,6,0,internal compiler source javadoc parser 
internal::compiler::lookup::UnresolvedReferenceBinding ,64,49,7,0,internal compiler lookup unresolved reference binding 
internal::core::CreateImportOperation ,83,48,8,0,internal core create import operation 
internal::core::builder::ReferenceCollection ,140,27,6,1,internal core builder reference collection 
internal::compiler::ast::InstanceOfExpression ,70,73,13,1,internal compiler ast instance of expression 
core::dom::NodeSearcher ,11,8,1,0,core dom node searcher 
internal::core::util::AnnotationComponent ,27,5,0,0,internal core util annotation component 
core::dom::BreakStatement ,59,33,6,0,core dom break statement 
internal::core::ASTHolderCUInfo ,0,12,4,0,internal core holder info 
internal::codeassist::complete::CompletionOnMethodReturnType ,12,10,1,0,internal codeassist complete completion on method return type 
internal::compiler::ast::ImportReference ,35,43,2,0,internal compiler ast import reference 
internal::core::builder::ClasspathJar ,108,40,7,0,internal core builder classpath jar 
internal::eval::VariablesInfo ,25,17,1,0,internal eval variables info 
internal::core::DeleteResourceElementsOperation ,90,51,10,0,internal core delete resource elements operation 
internal::core::InternalNamingConventions ,377,23,9,2,internal core internal naming conventions 
internal::core::search::IndexQueryRequestor ,0,8,1,0,internal core search index query requestor 
internal::compiler::flow::SwitchFlowContext ,23,41,5,0,internal compiler flow switch flow context 
core::dom::LineComment ,31,18,3,0,core dom line comment 
internal::compiler::ast::JavadocSingleNameReference ,30,16,10,0,internal compiler ast javadoc single name reference 
internal::compiler::ast::SubRoutineStatement ,31,18,10,0,internal compiler ast sub routine statement 
internal::compiler::ProcessTaskManager ,140,6,3,0,internal compiler process task manager 
core::dom::SwitchStatement ,86,38,9,0,core dom switch statement 
internal::core::search::matching::SuperTypeReferenceLocator ,67,21,4,1,internal core search matching super type reference locator 
internal::core::SourceMethod ,222,83,17,0,internal core source method 
internal::core::hierarchy::IndexBasedHierarchyBuilder ,423,131,33,0,internal core hierarchy index based hierarchy builder 
internal::core::util::CommentRecorderScanner ,10,7,0,1,internal core util comment recorder scanner 
internal::core::util::StackMapAttribute ,33,4,1,0,internal core util stack map attribute 
core::dom::SuperMethodInvocation ,136,44,11,0,core dom super method invocation 
internal::codeassist::complete::CompletionOnExplicitConstructorCall ,41,27,0,0,internal codeassist complete completion on explicit constructor call 
internal::formatter::old::CodeFormatter ,131,18,5,0,internal formatter old code formatter 
internal::compiler::lookup::CaptureBinding ,210,32,20,0,internal compiler lookup capture binding 
internal::compiler::lookup::ParameterizedMethodBinding ,34,48,14,0,internal compiler lookup parameterized method binding 
internal::compiler::ast::FieldDeclaration ,241,120,41,0,internal compiler ast field declaration 
internal::compiler::lookup::InferenceContext ,116,4,2,0,internal compiler lookup inference context 
core::dom::AssertStatement ,98,37,8,0,core dom assert statement 
internal::core::search::matching::PackageDeclarationPattern ,17,48,2,1,internal core search matching package declaration pattern 
core::dom::InternalASTRewrite ,163,14,3,0,core dom internal rewrite 
internal::compiler::classfmt::ClassFileReader ,724,110,27,0,internal compiler classfmt class file reader 
internal::core::search::JavaSearchParticipant ,46,20,3,0,internal core search java search participant 
internal::core::ImportContainer ,63,43,8,0,internal core import container 
core::dom::TypeParameter ,91,35,5,0,core dom type parameter 
internal::compiler::env::NameEnvironmentAnswer ,34,29,2,0,internal compiler env name environment answer 
core::CompletionContext ,123,17,14,1,core completion context 
internal::core::index::EntryResult ,56,18,2,0,internal core index entry result 
internal::compiler::problem::AbortCompilation ,14,25,8,0,internal compiler problem abort compilation 
core::dom::SynchronizedStatement ,106,37,8,0,core dom synchronized statement 
core::dom::DefaultCommentMapper ,393,44,24,0,core dom default comment mapper 
internal::core::util::EnclosingMethodAttribute ,50,8,0,0,internal core util enclosing method attribute 
internal::compiler::ast::ArrayInitializer ,195,71,17,0,internal compiler ast array initializer 
internal::codeassist::complete::CompletionOnMemberValueName ,9,0,0,0,internal codeassist complete completion on member value name 
internal::compiler::impl::ShortConstant ,37,34,1,0,internal compiler impl short constant 
internal::core::search::matching::OrLocator ,124,26,8,0,internal core search matching or locator 
internal::core::OpenableElementInfo ,6,16,1,0,internal core openable element info 
internal::compiler::ast::IntLiteralMinValue ,7,15,0,0,internal compiler ast int literal min value 
internal::core::search::matching::AndLocator ,74,2,2,0,internal core search matching and locator 
internal::compiler::codegen::CharArrayCache ,118,33,4,0,internal compiler codegen char array cache 
internal::core::search::matching::MethodLocator ,526,106,57,3,internal core search matching method locator 
core::BufferChangedEvent ,18,21,0,0,core buffer changed event 
internal::core::NullBuffer ,3,1,1,0,internal core null buffer 
core::dom::ReturnStatement ,60,33,6,0,core dom return statement 
internal::core::CopyPackageFragmentRootOperation ,223,34,12,1,internal core copy package fragment root operation 
internal::core::MultiOperation ,165,27,3,0,internal core multi operation 
internal::core::ProjectReferenceChange ,77,7,3,1,internal core project reference change 
internal::compiler::ast::QualifiedSuperReference ,38,37,3,1,internal compiler ast qualified super reference 
internal::core::search::processing::JobManager ,383,115,16,0,internal core search processing job manager 
internal::core::search::matching::MemberDeclarationVisitor ,142,0,1,0,internal core search matching member declaration visitor 
core::dom::SimpleName ,124,57,13,0,core dom simple name 
internal::eval::CodeSnippetToCuMapper ,233,75,17,0,internal eval code snippet to cu mapper 
internal::core::builder::JavaBuilder ,661,166,31,0,internal core builder java builder 
core::dom::AnnotationTypeDeclaration ,98,26,6,0,core dom annotation type declaration 
internal::compiler::util::SimpleNameVector ,64,28,1,0,internal compiler util simple name vector 
internal::core::SearchableEnvironment ,144,89,27,1,internal core searchable environment 
core::dom::LabeledStatement ,107,37,9,0,core dom labeled statement 
internal::core::search::AbstractSearchScope ,12,20,1,0,internal core search abstract search scope 
internal::core::hierarchy::HierarchyBuilder ,242,81,12,0,internal core hierarchy hierarchy builder 
internal::compiler::ast::Argument ,132,79,13,0,internal compiler ast argument 
internal::codeassist::MissingTypesGuesser ,186,3,3,0,internal codeassist missing types guesser 
internal::core::util::JavaElementFinder ,89,0,1,0,internal core util java element finder 
internal::compiler::flow::ConditionalFlowInfo ,145,32,4,0,internal compiler flow conditional flow info 
internal::core::search::JavaWorkspaceScope ,155,46,8,0,internal core search java workspace scope 
internal::core::MoveResourceElementsOperation ,9,27,2,0,internal core move resource elements operation 
internal::core::BatchInitializationMonitor ,55,0,1,0,internal core batch initialization monitor 
internal::compiler::util::Util ,513,86,25,1,internal compiler util util 
internal::core::CancelableProblemFactory ,9,6,6,0,internal core cancelable problem factory 
internal::core::LocalVariable ,222,34,13,1,internal core local variable 
internal::compiler::ast::MethodDeclaration ,198,83,17,2,internal compiler ast method declaration 
internal::core::ResolvedBinaryType ,26,7,2,0,internal core resolved binary type 
internal::compiler::lookup::InnerEmulationDependency ,4,16,0,0,internal compiler lookup inner emulation dependency 
internal::core::CreateTypeOperation ,62,40,7,0,internal core create type operation 
internal::core::hierarchy::RegionBasedHierarchyBuilder ,156,36,7,0,internal core hierarchy region based hierarchy builder 
internal::core::util::PublicScanner ,3449,134,43,0,internal core util public scanner 
internal::compiler::ast::Block ,97,50,5,0,internal compiler ast block 
internal::core::search::matching::MatchLocator ,1531,380,135,5,internal core search matching match locator 
internal::compiler::ast::ExplicitConstructorCall ,364,84,21,1,internal compiler ast explicit constructor call 
core::dom::SimpleType ,72,41,9,0,core dom simple type 
internal::core::dom::rewrite::ASTRewriteFormatter ,258,33,8,0,internal core dom rewrite rewrite formatter 
internal::core::builder::ProblemFactory ,9,11,0,0,internal core builder problem factory 
internal::core::ExternalFolderChange ,27,2,2,0,internal core external folder change 
internal::compiler::ClassFilePool ,30,4,0,0,internal compiler class file pool 
internal::core::hierarchy::HierarchyType ,17,13,0,0,internal core hierarchy hierarchy type 
internal::compiler::batch::Main ,2557,396,117,2,internal compiler batch main 
internal::compiler::ast::CombinedBinaryExpression ,266,3,4,0,internal compiler ast combined binary expression 
internal::core::util::RuntimeInvisibleAnnotationsAttribute ,22,6,0,0,internal core util runtime invisible annotations attribute 
internal::antadapter::AntAdapterMessages ,12,6,1,0,internal antadapter ant adapter messages 
internal::core::search::indexing::SaveIndex ,30,20,0,0,internal core search indexing save index 
internal::core::JavaModel ,235,111,28,1,internal core java model 
internal::compiler::lookup::FieldBinding ,251,70,16,3,internal compiler lookup field binding 
internal::compiler::lookup::ParameterizedFieldBinding ,24,18,5,0,internal compiler lookup parameterized field binding 
internal::codeassist::complete::CompletionOnPackageReference ,12,27,0,0,internal codeassist complete completion on package reference 
internal::codeassist::select::SelectionOnFieldType ,10,11,1,0,internal codeassist select selection on field type 
internal::compiler::lookup::ProblemBinding ,13,15,1,0,internal compiler lookup problem binding 
internal::core::CreateTypeHierarchyOperation ,35,20,1,0,internal core create type hierarchy operation 
core::search::MethodReferenceMatch ,13,34,9,1,core search method reference match 
internal::eval::CodeSnippetQualifiedNameReference ,551,72,9,2,internal eval code snippet qualified name reference 
internal::codeassist::complete::CompletionJavadocParser ,768,32,26,0,internal codeassist complete completion javadoc parser 
core::dom::EmptyStatement ,29,29,5,0,core dom empty statement 
core::dom::SimplePropertyDescriptor ,14,8,1,0,core dom simple property descriptor 
internal::core::SourceRange ,28,25,1,0,internal core source range 
internal::core::BinaryType ,698,182,45,1,internal core binary type 
core::search::TypeParameterDeclarationMatch ,3,2,1,0,core search type parameter declaration match 
internal::core::util::LocalVariableTypeAttribute ,21,7,0,0,internal core util local variable type attribute 
core::util::ByteCodeVisitorAdapter ,612,10,0,1,core util byte code visitor adapter 
internal::compiler::ast::ThisReference ,78,43,3,0,internal compiler ast this reference 
internal::compiler::Compiler ,407,139,32,1,internal compiler compiler 
internal::compiler::flow::FlowContext ,379,71,17,2,internal compiler flow flow context 
internal::codeassist::complete::CompletionOnQualifiedNameReference ,36,34,5,0,internal codeassist complete completion on qualified name reference 
internal::core::DeletePackageFragmentRootOperation ,120,20,3,0,internal core delete package fragment root operation 
internal::compiler::ast::BreakStatement ,72,12,6,0,internal compiler ast break statement 
internal::formatter::FormatJavadocBlock ,238,6,8,0,internal formatter format javadoc block 
internal::compiler::classfmt::FieldInfo ,305,65,11,0,internal compiler classfmt field info 
internal::codeassist::select::SelectionJavadoc ,80,5,3,0,internal codeassist select selection javadoc 
internal::core::util::LineNumberAttribute ,23,13,0,0,internal core util line number attribute 
internal::core::PackageFragmentRootInfo ,110,52,11,0,internal core package fragment root info 
internal::core::dom::rewrite::ASTRewriteFlattener ,92,23,8,0,internal core dom rewrite rewrite flattener 
core::dom::ForStatement ,117,44,11,0,core dom for statement 
internal::compiler::parser::diagnose::DiagnoseParser ,2262,42,10,0,internal compiler parser diagnose diagnose parser 
core::dom::ASTNode ,657,111,26,0,core dom node 
internal::codeassist::InternalCompletionContext ,48,12,12,1,internal codeassist internal completion context 
internal::compiler::ast::IfStatement ,192,77,15,0,internal compiler ast if statement 
core::dom::CharacterLiteral ,220,48,9,1,core dom character literal 
internal::compiler::lookup::SignatureWrapper ,47,8,0,0,internal compiler lookup signature wrapper 
internal::compiler::DefaultErrorHandlingPolicies ,40,17,0,0,internal compiler default error handling policies 
internal::core::search::BasicSearchEngine ,712,64,41,1,internal core search basic search engine 
internal::compiler::batch::FileFinder ,23,30,2,0,internal compiler batch file finder 
internal::formatter::comment::MultiCommentRegion ,121,6,4,0,internal formatter comment multi comment region 
internal::eval::CodeSnippetCompiler ,24,34,3,0,internal eval code snippet compiler 
core::dom::Message ,27,10,2,0,core dom message 
internal::compiler::ast::SingleNameReference ,787,149,40,6,internal compiler ast single name reference 
internal::core::Openable ,327,139,22,0,internal core openable 
internal::compiler::lookup::ProblemMethodBinding ,8,22,2,0,internal compiler lookup problem method binding 
internal::codeassist::impl::AssistInitializer ,13,0,1,0,internal codeassist impl assist initializer 
internal::formatter::comment::SingleCommentLine ,48,2,1,0,internal formatter comment single comment line 
internal::compiler::codegen::DoubleCache ,88,29,1,0,internal compiler codegen double cache 
internal::core::util::LRUCache ,276,35,2,0,internal core util cache 
internal::core::search::matching::DeclarationOfReferencedTypesPattern ,7,32,5,1,internal core search matching declaration of referenced types pattern 
internal::compiler::util::SimpleLookupTable ,127,6,2,0,internal compiler util simple lookup table 
internal::compiler::lookup::ProblemReferenceBinding ,48,30,2,0,internal compiler lookup problem reference binding 
internal::core::NamedMember ,178,21,8,0,internal core named member 
internal::core::JarPackageFragmentRootInfo ,4,16,2,0,internal core jar package fragment root info 
core::dom::ASTParser ,426,105,38,1,core dom parser 
internal::core::SourceMethodInfo ,12,3,0,0,internal core source method info 
internal::core::JavaElementInfo ,47,24,3,0,internal core java element info 
internal::core::dom::rewrite::NodeRewriteEvent ,59,8,1,0,internal core dom rewrite node rewrite event 
internal::compiler::ast::AND_AND_Expression ,230,51,12,0,internal compiler ast expression 
internal::core::search::indexing::SourceIndexer ,35,57,10,1,internal core search indexing source indexer 
core::dom::ThisExpression ,59,37,8,0,core dom this expression 
internal::core::builder::SourceFile ,68,38,5,0,internal core builder source file 
core::ElementChangedEvent ,10,29,0,0,core element changed event 
internal::formatter::FormatterCommentParser ,495,12,17,5,internal formatter formatter comment parser 
core::dom::StructuralPropertyDescriptor ,44,8,1,0,core dom structural property descriptor 
internal::compiler::lookup::BlockScope ,546,142,30,1,internal compiler lookup block scope 
internal::compiler::lookup::LookupEnvironment ,1069,155,44,3,internal compiler lookup lookup environment 
core::dom::BodyDeclaration ,74,39,6,0,core dom body declaration 
core::dom::ConditionalExpression ,141,35,8,0,core dom conditional expression 
internal::compiler::lookup::LocalVariableBinding ,177,53,8,0,internal compiler lookup local variable binding 
internal::core::JavaModelOperation ,528,89,29,0,internal core java model operation 
internal::core::CopyResourceElementsOperation ,516,130,26,1,internal core copy resource elements operation 
core::dom::VariableDeclarationFragment ,127,42,10,0,core dom variable declaration fragment 
internal::compiler::codegen::CaseLabel ,46,26,3,0,internal compiler codegen case label 
internal::core::DeleteElementsOperation ,102,59,12,0,internal core delete elements operation 
internal::codeassist::select::SelectionOnMessageSend ,65,42,2,0,internal codeassist select selection on message send 
internal::compiler::lookup::PackageBinding ,136,58,7,4,internal compiler lookup package binding 
internal::core::search::TypeNameMatchRequestorWrapper ,121,10,8,0,internal core search type name match requestor wrapper 
core::dom::TagElement ,70,30,9,0,core dom tag element 
core::dom::CompilationUnit ,344,119,38,0,core dom compilation unit 
core::dom::ExpressionStatement ,72,37,8,0,core dom expression statement 
internal::core::search::matching::PossibleMatch ,112,37,13,0,internal core search matching possible match 
internal::compiler::lookup::ArrayBinding ,190,80,16,0,internal compiler lookup array binding 
core::formatter::DefaultCodeFormatterConstants ,177,118,62,2,core formatter default code formatter constants 
internal::compiler::ast::JavadocArgumentExpression ,66,36,15,0,internal compiler ast javadoc argument expression 
internal::core::jdom::DOMField ,328,41,4,0,internal core jdom field 
internal::compiler::util::HashtableOfObjectToInt ,117,6,1,0,internal compiler util hashtable of object to int 
core::util::ClassFileBytesDisassembler ,0,10,2,0,core util class file bytes disassembler 
internal::codeassist::complete::CompletionParser ,4390,243,102,1,internal codeassist complete completion parser 
internal::core::search::matching::LocalVariableLocator ,65,28,6,1,internal core search matching local variable locator 
core::dom::PrimitiveType ,59,33,7,0,core dom primitive type 
internal::compiler::impl::DoubleConstant ,39,36,1,0,internal compiler impl double constant 
internal::eval::CodeSnippetEnvironment ,17,19,1,0,internal eval code snippet environment 
internal::core::jdom::DOMNode ,482,37,4,0,internal core jdom node 
internal::core::JarEntryResource ,57,1,2,0,internal core jar entry resource 
internal::compiler::ast::LongLiteralMinValue ,7,17,0,0,internal compiler ast long literal min value 
internal::eval::VariablesEvaluator ,255,45,4,0,internal eval variables evaluator 
core::dom::FieldAccess ,109,41,10,0,core dom field access 
internal::compiler::batch::ClasspathSourceJar ,7,5,2,0,internal compiler batch classpath source jar 
internal::formatter::BinaryExpressionFragmentBuilder ,42,30,9,0,internal formatter binary expression fragment builder 
internal::core::TypeParameter ,57,15,5,0,internal core type parameter 
internal::core::util::AnnotationComponentValue ,131,13,2,0,internal core util annotation component value 
internal::codeassist::complete::CompletionNodeFound ,3,20,1,0,internal codeassist complete completion node found 
core::dom::Name ,22,23,2,0,core dom name 
internal::formatter::comment::CommentRange ,136,4,2,0,internal formatter comment comment range 
internal::compiler::ast::JavadocImplicitTypeReference ,91,15,9,0,internal compiler ast javadoc implicit type reference 
internal::compiler::util::HashSetOfInt ,94,1,1,0,internal compiler util hash set of int 
internal::core::util::MementoTokenizer ,80,8,2,0,internal core util memento tokenizer 
internal::core::jdom::SimpleDOMBuilder ,104,64,9,0,internal core jdom simple builder 
internal::core::util::DefaultStackMapFrame ,51,3,2,0,internal core util default stack map frame 
internal::formatter::FormatJavadocNode ,27,4,6,0,internal formatter format javadoc node 
internal::core::search::matching::MatchLocatorParser ,681,108,36,0,internal core search matching match locator parser 
core::dom::ParenthesizedExpression ,71,35,8,0,core dom parenthesized expression 
internal::compiler::AbstractAnnotationProcessorManager ,0,9,2,0,internal compiler abstract annotation processor manager 
internal::compiler::lookup::UpdatedMethodBinding ,7,6,0,1,internal compiler lookup updated method binding 
core::dom::ArrayAccess ,109,35,8,0,core dom array access 
internal::codeassist::complete::CompletionOnStringLiteral ,13,1,1,0,internal codeassist complete completion on string literal 
internal::core::hierarchy::RegionBasedTypeHierarchy ,103,37,9,0,internal core hierarchy region based type hierarchy 
internal::core::PackageFragmentRoot ,554,156,39,1,internal core package fragment root 
core::util::CompilationUnitSorter ,19,44,5,0,core util compilation unit sorter 
internal::compiler::ast::Annotation ,357,77,26,1,internal compiler ast annotation 
internal::compiler::ast::JavadocFieldReference ,87,43,22,1,internal compiler ast javadoc field reference 
internal::codeassist::select::SelectionOnSingleNameReference ,40,32,3,0,internal codeassist select selection on single name reference 
internal::core::dom::rewrite::RewriteEventStore ,474,24,6,0,internal core dom rewrite rewrite event store 
internal::compiler::ast::EmptyStatement ,32,27,1,0,internal compiler ast empty statement 
internal::compiler::ClassFile ,6113,225,69,6,internal compiler class file 
internal::core::ClasspathChange ,469,14,11,1,internal core classpath change 
internal::compiler::ast::StringLiteral ,72,37,7,0,internal compiler ast string literal 
core::Signature ,841,126,37,1,core signature 
internal::compiler::classfmt::AnnotationMethodInfoWithAnnotations ,26,1,0,0,internal compiler classfmt annotation method info with annotations 
internal::compiler::parser::RecoveryScanner ,191,7,6,0,internal compiler parser recovery scanner 
core::dom::Type ,24,20,2,0,core dom type 
core::CompletionRequestorAdapter ,42,20,0,0,core completion requestor adapter 
core::compiler::InvalidInputException ,3,24,1,0,core compiler invalid input exception 
internal::core::dom::rewrite::LineCommentEndOffsets ,51,2,3,0,internal core dom rewrite line comment end offsets 
internal::compiler::parser::Scanner ,3449,238,85,1,internal compiler parser scanner 
internal::compiler::ast::Initializer ,81,53,4,0,internal compiler ast initializer 
core::dom::VariableDeclarationStatement ,155,57,11,0,core dom variable declaration statement 
internal::core::search::matching::DeclarationOfReferencedMethodsPattern ,7,30,4,1,internal core search matching declaration of referenced methods pattern 
core::compiler::CharOperation ,845,97,20,0,core compiler char operation 
internal::codeassist::CompletionElementNotifier ,136,0,1,0,internal codeassist completion element notifier 
internal::core::search::indexing::BinaryIndexer ,707,89,17,0,internal core search indexing binary indexer 
internal::compiler::ast::CompilationUnitDeclaration ,536,96,29,2,internal compiler ast compilation unit declaration 
internal::compiler::ast::PrefixExpression ,28,35,1,0,internal compiler ast prefix expression 
core::dom::DefaultValuePairBinding ,20,2,5,0,core dom default value pair binding 
internal::core::search::matching::TypeDeclarationLocator ,69,17,2,1,internal core search matching type declaration locator 
internal::compiler::flow::FlowInfo ,66,42,6,0,internal compiler flow flow info 
core::dom::Block ,47,28,5,0,core dom block 
core::dom::MethodRefParameter ,121,24,5,0,core dom method ref parameter 
internal::core::search::IndexSelector ,145,54,12,1,internal core search index selector 
internal::compiler::ast::Wildcard ,71,27,2,0,internal compiler ast wildcard 
core::dom::ArrayType ,87,38,9,0,core dom array type 
core::search::FieldReferenceMatch ,11,26,3,1,core search field reference match 
core::search::SearchDocument ,16,21,2,1,core search search document 
core::ToolFactory ,63,94,15,0,core tool factory 
internal::core::util::DefaultBytecodeVisitor ,1585,55,9,2,internal core util default bytecode visitor 
core::dom::ThrowStatement ,72,37,8,0,core dom throw statement 
internal::core::search::matching::InternalReferenceMatch ,6,0,1,1,internal core search matching internal reference match 
internal::codeassist::complete::CompletionOnAnnotationMemberValuePair ,32,0,0,0,internal codeassist complete completion on annotation member value pair 
internal::codeassist::ThrownExceptionFinder ,75,2,3,0,internal codeassist thrown exception finder 
internal::core::DefaultWorkingCopyOwner ,10,22,1,0,internal core default working copy owner 
internal::compiler::impl::ByteConstant ,37,34,1,0,internal compiler impl byte constant 
