file,loc,noc,bf,bug
internal::core::AnnotatableInfo ,0,0,1,0,internal core annotatable info 
internal::core::util::ExceptionAttribute ,31,18,3,0,internal core util exception attribute 
core::dom::Initializer ,125,52,11,0,core dom initializer 
internal::codeassist::impl::AssistImportContainer ,10,0,1,0,internal codeassist impl assist import container 
internal::core::MoveElementsOperation ,9,27,2,0,internal core move elements operation 
internal::compiler::parser::RecoveredStatement ,23,29,0,0,internal compiler parser recovered statement 
internal::codeassist::complete::CompletionOnMethodName ,31,14,0,0,internal codeassist complete completion on method name 
core::dom::ClassInstanceCreation ,208,65,14,0,core dom class instance creation 
internal::core::builder::MissingSourceFileException ,3,10,0,0,internal core builder missing source file exception 
internal::compiler::env::EnumConstantSignature ,17,1,0,0,internal compiler env enum constant signature 
internal::compiler::ast::TypeReference ,144,69,16,0,internal compiler ast type reference 
internal::compiler::impl::CompilerStats ,9,1,0,0,internal compiler impl compiler stats 
internal::codeassist::select::SelectionScanner ,31,33,1,0,internal codeassist select selection scanner 
core::dom::PackageDeclaration ,130,47,11,0,core dom package declaration 
internal::compiler::ast::CaseStatement ,96,41,15,0,internal compiler ast case statement 
internal::compiler::ASTVisitor ,9,23,3,0,internal compiler visitor 
internal::compiler::ast::Literal ,25,20,0,0,internal compiler ast literal 
internal::compiler::lookup::ProblemFieldBinding ,9,22,3,0,internal compiler lookup problem field binding 
internal::core::search::matching::PatternLocator ,580,91,44,1,internal core search matching pattern locator 
internal::codeassist::impl::Engine ,230,74,20,1,internal codeassist impl engine 
internal::core::SingleTypeRequestor ,27,14,0,0,internal core single type requestor 
core::dom::ASTConverter ,1947,317,196,1,core dom converter 
internal::compiler::ast::QualifiedAllocationExpression ,414,114,25,1,internal compiler ast qualified allocation expression 
internal::core::search::matching::VariablePattern ,34,19,4,0,internal core search matching variable pattern 
internal::core::search::JavaSearchScope ,289,89,34,1,internal core search java search scope 
internal::compiler::util::SimpleSet ,103,2,0,0,internal compiler util simple set 
internal::core::jdom::DOMMember ,146,36,2,0,internal core jdom member 
internal::core::jdom::DOMMethod ,404,42,6,0,internal core jdom method 
internal::codeassist::select::SelectionOnLocalName ,24,15,2,0,internal codeassist select selection on local name 
internal::compiler::ast::Javadoc ,708,79,48,3,internal compiler ast javadoc 
core::dom::TypeBinding ,952,165,89,1,core dom type binding 
core::search::SearchRequestor ,12,15,1,0,core search search requestor 
core::dom::ContinueStatement ,59,33,6,0,core dom continue statement 
internal::core::builder::AdditionalTypeCollection ,4,8,0,1,internal core builder additional type collection 
core::JavaModelException ,52,37,3,0,core java model exception 
internal::core::builder::StringSet ,56,11,2,0,internal core builder string set 
core::search::PackageDeclarationMatch ,3,16,0,0,core search package declaration match 
internal::core::CreatePackageFragmentOperation ,83,50,9,0,internal core create package fragment operation 
internal::core::util::ClassFileReader ,285,34,5,0,internal core util class file reader 
internal::compiler::ast::ArrayReference ,158,65,10,0,internal compiler ast array reference 
internal::formatter::comment::HTMLEntity2JavaReader ,44,5,4,0,internal formatter comment entity java reader 
internal::core::BinaryMethod ,529,120,31,1,internal core binary method 
internal::core::search::matching::ImportMatchLocatorParser ,28,5,2,0,internal core search matching import match locator parser 
core::dom::MethodRef ,109,23,3,0,core dom method ref 
internal::core::util::ReferenceInfoAdapter ,18,19,1,0,internal core util reference info adapter 
internal::core::RenameResourceElementsOperation ,28,30,2,0,internal core rename resource elements operation 
core::dom::ASTMatcher ,52,65,11,0,core dom matcher 
core::WorkingCopyOwner ,17,32,3,0,core working copy owner 
core::compiler::ReconcileContext ,44,12,4,0,core compiler reconcile context 
core::ClasspathContainerInitializer ,69,42,4,0,core classpath container initializer 
internal::core::Annotation ,56,0,1,1,internal core annotation 
internal::core::jdom::AbstractDOMBuilder ,82,27,2,0,internal core jdom abstract builder 
internal::eval::Evaluator ,104,48,9,0,internal eval evaluator 
internal::formatter::comment::JavaDocRegion ,231,13,6,0,internal formatter comment java doc region 
core::dom::VariableBinding ,232,70,32,0,core dom variable binding 
internal::compiler::problem::DefaultProblem ,164,63,11,0,internal compiler problem default problem 
core::util::ClassFormatException ,3,25,0,0,core util class format exception 
internal::core::builder::IncrementalImageBuilder ,706,123,39,1,internal core builder incremental image builder 
internal::codeassist::select::SelectionOnNameOfMemberValuePair ,17,3,0,0,internal codeassist select selection on name of member value pair 
internal::core::SourceRefElement ,171,63,15,0,internal core source ref element 
internal::codeassist::select::SelectionOnQualifiedSuperReference ,16,27,1,0,internal codeassist select selection on qualified super reference 
internal::core::NonJavaResource ,77,0,1,0,internal core non java resource 
internal::core::hierarchy::HierarchyBinaryType ,154,48,6,0,internal core hierarchy hierarchy binary type 
internal::codeassist::complete::CompletionOnFieldName ,20,19,2,0,internal codeassist complete completion on field name 
internal::compiler::impl::FloatConstant ,36,36,1,0,internal compiler impl float constant 
internal::compiler::codegen::FloatCache ,88,29,1,0,internal compiler codegen float cache 
internal::compiler::parser::SourceTypeConverter ,209,81,28,0,internal compiler parser source type converter 
internal::core::search::matching::ClassFileMatchLocator ,462,55,15,1,internal core search matching class file match locator 
internal::core::VerboseElementCache ,27,1,0,0,internal core verbose element cache 
internal::core::BinaryTypeConverter ,216,19,8,0,internal core binary type converter 
internal::compiler::util::CompoundNameVector ,50,12,1,0,internal compiler util compound name vector 
core::dom::PackageBinding ,155,45,18,0,core dom package binding 
internal::formatter::comment::MultiCommentLine ,276,4,2,0,internal formatter comment multi comment line 
internal::core::JavaCorePreferenceInitializer ,73,45,22,0,internal core java core preference initializer 
internal::compiler::codegen::VerificationTypeInfo ,156,7,4,0,internal compiler codegen verification type info 
internal::compiler::ast::QualifiedThisReference ,76,51,4,0,internal compiler ast qualified this reference 
internal::codeassist::complete::CompletionOnJavadocParamNameReference ,17,5,7,0,internal codeassist complete completion on javadoc param name reference 
core::dom::MethodBinding ,290,107,59,0,core dom method binding 
internal::compiler::ast::ConstructorDeclaration ,437,122,40,3,internal compiler ast constructor declaration 
internal::core::CreateCompilationUnitOperation ,87,50,10,0,internal core create compilation unit operation 
core::CorrectionEngine ,128,59,6,1,core correction engine 
internal::core::search::matching::VariableLocator ,36,11,2,1,internal core search matching variable locator 
internal::compiler::batch::ClasspathDirectory ,136,60,9,0,internal compiler batch classpath directory 
internal::core::index::MemoryIndex ,99,20,2,0,internal core index memory index 
internal::compiler::ast::SwitchStatement ,334,94,19,1,internal compiler ast switch statement 
internal::core::search::indexing::InternalSearchDocument ,16,13,4,1,internal core search indexing internal search document 
core::dom::BindingResolver ,105,62,23,0,core dom binding resolver 
internal::compiler::codegen::StackMapFrame ,325,11,8,0,internal compiler codegen stack map frame 
internal::core::AnnotationInfo ,0,1,1,0,internal core annotation info 
internal::compiler::classfmt::ClassFormatException ,29,24,2,0,internal compiler classfmt class format exception 
internal::core::builder::ClasspathDirectory ,101,39,6,0,internal core builder classpath directory 
internal::compiler::classfmt::MethodInfoWithParameterAnnotations ,35,1,0,0,internal compiler classfmt method info with parameter annotations 
internal::core::builder::ClasspathMultiDirectory ,33,27,3,0,internal core builder classpath multi directory 
internal::compiler::lookup::TypeBinding ,773,143,56,3,internal compiler lookup type binding 
internal::compiler::flow::LabelFlowContext ,23,33,3,0,internal compiler flow label flow context 
internal::compiler::ast::AssertStatement ,163,68,9,2,internal compiler ast assert statement 
internal::core::search::matching::TypeReferencePattern ,54,99,21,1,internal core search matching type reference pattern 
core::search::TypeNameMatchRequestor ,0,2,3,0,core search type name match requestor 
internal::codeassist::select::SelectionOnPackageReference ,11,27,0,0,internal codeassist select selection on package reference 
core::BindingKey ,82,25,7,0,core binding key 
internal::compiler::ast::JavadocReturnStatement ,29,24,13,0,internal compiler ast javadoc return statement 
internal::eval::CodeSnippetAllocationExpression ,184,55,13,1,internal eval code snippet allocation expression 
internal::compiler::env::AccessRule ,39,5,2,0,internal compiler env access rule 
internal::core::jdom::DOMBuilder ,368,45,10,0,internal core jdom builder 
internal::core::search::matching::TypeParameterPattern ,61,10,6,0,internal core search matching type parameter pattern 
internal::core::util::InnerClassesAttributeEntry ,49,10,0,0,internal core util inner classes attribute entry 
core::dom::ASTSyntaxErrorPropagator ,62,22,6,0,core dom syntax error propagator 
internal::codeassist::complete::CompletionOnFieldType ,14,20,1,0,internal codeassist complete completion on field type 
internal::codeassist::select::SelectionOnExplicitConstructorCall ,34,29,1,0,internal codeassist select selection on explicit constructor call 
internal::core::util::HandleFactory ,200,59,20,0,internal core util handle factory 
internal::core::dom::rewrite::TrackedNodePosition ,24,8,2,0,internal core dom rewrite tracked node position 
internal::compiler::util::SimpleSetOfCharArray ,103,5,6,0,internal compiler util simple set of char array 
internal::core::dom::rewrite::ASTRewriteAnalyzer ,907,67,28,2,internal core dom rewrite rewrite analyzer 
internal::compiler::ast::ReturnStatement ,217,83,26,1,internal compiler ast return statement 
core::search::MethodDeclarationMatch ,3,16,0,0,core search method declaration match 
internal::core::util::LocalVariableAttribute ,21,14,0,0,internal core util local variable attribute 
internal::core::builder::NameEnvironment ,271,68,14,0,internal core builder name environment 
core::dom::ParameterizedType ,88,38,6,0,core dom parameterized type 
internal::formatter::comment::Java2HTMLEntityReader ,50,8,4,0,internal formatter comment java entity reader 
internal::core::BufferFactoryWrapper ,23,15,0,0,internal core buffer factory wrapper 
internal::core::NameLookup ,691,143,35,0,internal core name lookup 
internal::codeassist::complete::CompletionOnJavadocTag ,115,5,3,1,internal codeassist complete completion on javadoc tag 
internal::compiler::util::HashtableOfObject ,122,38,1,0,internal compiler util hashtable of object 
internal::compiler::ast::ParameterizedQualifiedTypeReference ,296,84,32,1,internal compiler ast parameterized qualified type reference 
internal::eval::EvaluationContext ,332,74,16,0,internal eval evaluation context 
internal::compiler::ast::ContinueStatement ,75,13,6,0,internal compiler ast continue statement 
internal::compiler::ast::ThrowStatement ,44,48,3,0,internal compiler ast throw statement 
internal::core::SourceType ,480,172,36,0,internal core source type 
internal::core::util::StackMapFrame ,127,7,1,0,internal core util stack map frame 
core::CheckDebugAttributes ,50,15,3,0,core check debug attributes 
internal::core::ClasspathEntry ,1340,127,36,4,internal core classpath entry 
internal::core::jdom::DOMPackage ,50,33,3,0,internal core jdom package 
internal::core::search::matching::PackageReferencePattern ,40,82,11,1,internal core search matching package reference pattern 
internal::core::JavaProjectElementInfo ,251,68,25,1,internal core java project element info 
internal::core::SourceAnnotationMethodInfo ,3,7,3,0,internal core source annotation method info 
internal::compiler::ast::ExtendedStringLiteral ,29,32,3,0,internal compiler ast extended string literal 
internal::core::builder::WorkQueue ,28,14,0,0,internal core builder work queue 
internal::core::SourceConstructorInfo ,13,3,0,0,internal core source constructor info 
internal::compiler::ast::ArrayQualifiedTypeReference ,62,48,4,0,internal compiler ast array qualified type reference 
internal::compiler::DocumentElementParser ,1200,73,9,0,internal compiler document element parser 
internal::core::builder::ImageBuilderInternalException ,15,14,1,0,internal core builder image builder internal exception 
internal::codeassist::complete::CompletionOnJavadocSingleTypeReference ,55,3,3,0,internal codeassist complete completion on javadoc single type reference 
internal::compiler::ast::OperatorExpression ,1520,47,4,0,internal compiler ast operator expression 
internal::core::search::TypeNameRequestorWrapper ,6,8,5,0,internal core search type name requestor wrapper 
internal::codeassist::impl::AssistAnnotation ,7,0,1,0,internal codeassist impl assist annotation 
core::dom::ArrayCreation ,110,44,9,0,core dom array creation 
internal::core::CompilationUnitStructureRequestor ,525,93,22,1,internal core compilation unit structure requestor 
internal::compiler::ast::JavadocSingleTypeReference ,66,39,26,0,internal compiler ast javadoc single type reference 
internal::core::builder::BatchImageBuilder ,269,93,28,1,internal core builder batch image builder 
internal::compiler::parser::AbstractCommentParser ,1399,104,81,7,internal compiler parser abstract comment parser 
internal::core::ResolvedBinaryField ,23,5,1,0,internal core resolved binary field 
internal::core::index::Index ,134,45,18,1,internal core index index 
internal::core::ExternalFoldersManager ,192,7,4,3,internal core external folders manager 
core::dom::BooleanLiteral ,52,27,5,0,core dom boolean literal 
internal::core::util::Disassembler ,629,131,33,1,internal core util disassembler 
internal::core::util::DOMFinder ,28,5,3,0,internal core util finder 
internal::compiler::lookup::VariableBinding ,35,40,3,0,internal compiler lookup variable binding 
internal::core::util::CodeSnippetParsingUtil ,152,23,13,0,internal core util code snippet parsing util 
internal::core::search::indexing::ReadWriteMonitor ,52,26,0,0,internal core search indexing read write monitor 
internal::core::JavaProject ,1607,468,128,4,internal core java project 
internal::compiler::flow::ExceptionHandlingFlowContext ,139,55,11,2,internal compiler flow exception handling flow context 
internal::core::search::matching::TypeReferenceLocator ,343,83,40,2,internal core search matching type reference locator 
internal::core::JavaModelStatus ,286,54,15,0,internal core java model status 
core::dom::CatchClause ,107,38,8,0,core dom catch clause 
internal::compiler::ast::JavadocArraySingleTypeReference ,14,15,6,0,internal compiler ast javadoc array single type reference 
internal::core::CreateMethodOperation ,64,39,9,0,internal core create method operation 
internal::core::Buffer ,275,72,14,0,internal core buffer 
internal::core::search::matching::TypeParameterLocator ,57,1,1,1,internal core search matching type parameter locator 
internal::compiler::batch::ClasspathLocation ,15,13,7,0,internal compiler batch classpath location 
internal::core::MemberValuePair ,26,0,1,0,internal core member value pair 
core::dom::ConstructorInvocation ,76,34,7,0,core dom constructor invocation 
internal::formatter::comment::CommentRegion ,269,6,4,0,internal formatter comment comment region 
internal::compiler::util::HashtableOfObjectToIntArray ,117,2,1,0,internal compiler util hashtable of object to int array 
internal::core::search::indexing::RemoveFolderFromIndex ,49,40,6,0,internal core search indexing remove folder from index 
internal::codeassist::SelectionEngine ,1189,175,56,1,internal codeassist selection engine 
internal::compiler::lookup::ImportBinding ,21,31,1,0,internal compiler lookup import binding 
core::compiler::BuildContext ,56,5,3,0,core compiler build context 
internal::core::search::matching::PackageDeclarationLocator ,11,6,0,0,internal core search matching package declaration locator 
internal::compiler::codegen::ExceptionLabel ,58,24,6,1,internal compiler codegen exception label 
internal::eval::CodeSnippetFieldReference ,336,55,6,0,internal eval code snippet field reference 
internal::compiler::lookup::ElementValuePair ,28,8,5,0,internal compiler lookup element value pair 
internal::core::JarPackageFragmentInfo ,3,19,1,0,internal core jar package fragment info 
internal::core::CancelableNameEnvironment ,23,9,6,1,internal core cancelable name environment 
internal::compiler::parser::RecoveredElement ,172,42,3,0,internal compiler parser recovered element 
internal::core::UserLibraryClasspathContainer ,35,11,3,0,internal core user library classpath container 
internal::compiler::problem::DefaultProblemFactory ,126,61,19,0,internal compiler problem default problem factory 
core::search::TypeReferenceMatch ,16,30,6,2,core search type reference match 
internal::compiler::ast::JavadocMessageSend ,174,48,28,0,internal compiler ast javadoc message send 
internal::compiler::lookup::BaseTypeBinding ,163,34,2,0,internal compiler lookup base type binding 
core::dom::WildcardType ,80,28,4,0,core dom wildcard type 
internal::core::util::RuntimeInvisibleParameterAnnotationsAttribute ,22,5,0,0,internal core util runtime invisible parameter annotations attribute 
internal::core::UserLibraryClasspathContainerInitializer ,52,14,3,0,internal core user library classpath container initializer 
core::dom::AST ,804,209,66,0,core dom 
internal::codeassist::UnresolvedReferenceNameFinder ,321,10,7,0,internal codeassist unresolved reference name finder 
internal::codeassist::complete::CompletionOnAnnotationOfType ,10,4,3,0,internal codeassist complete completion on annotation of type 
internal::core::util::HashSetOfCharArrayArray ,118,0,1,0,internal core util hash set of char array array 
internal::compiler::ast::LongLiteral ,128,33,5,0,internal compiler ast long literal 
internal::compiler::util::HashtableOfType ,79,30,1,0,internal compiler util hashtable of type 
internal::compiler::ast::ClassLiteralAccess ,72,72,9,0,internal compiler ast class literal access 
core::dom::NumberLiteral ,97,44,7,0,core dom number literal 
internal::core::util::CharArrayBuffer ,35,21,1,0,internal core util char array buffer 
internal::formatter::OptimizedReplaceEdit ,8,5,1,0,internal formatter optimized replace edit 
internal::core::JavaCorePreferenceModifyListener ,29,1,1,0,internal core java core preference modify listener 
internal::core::search::matching::FieldPattern ,63,40,11,1,internal core search matching field pattern 
internal::core::builder::NameSet ,41,9,1,0,internal core builder name set 
internal::core::ExternalJavaProject ,29,5,4,0,internal core external java project 
core::search::SearchEngine ,54,182,41,0,core search search engine 
internal::compiler::ConfigurableOption ,117,40,4,0,internal compiler configurable option 
internal::compiler::lookup::SyntheticFieldBinding ,5,16,1,0,internal compiler lookup synthetic field binding 
internal::compiler::impl::BooleanConstant ,19,40,5,0,internal compiler impl boolean constant 
internal::core::util::HashtableOfArrayToObject ,144,5,1,0,internal core util hashtable of array to object 
internal::core::InitializerElementInfo ,0,15,0,0,internal core initializer element info 
core::dom::CastExpression ,106,35,8,0,core dom cast expression 
internal::core::ModelUpdater ,157,23,7,0,internal core model updater 
internal::core::util::ConstantPoolEntry ,169,9,1,0,internal core util constant pool entry 
core::dom::AnnotationBinding ,190,9,11,2,core dom annotation binding 
internal::core::ResolvedBinaryMethod ,23,5,1,0,internal core resolved binary method 
internal::core::search::matching::PossibleMatchSet ,37,10,1,0,internal core search matching possible match set 
internal::codeassist::impl::AssistSourceType ,59,2,3,0,internal codeassist impl assist source type 
internal::compiler::ast::JavadocArrayQualifiedTypeReference ,13,15,6,0,internal compiler ast javadoc array qualified type reference 
internal::compiler::ast::TypeParameter ,60,18,5,0,internal compiler ast type parameter 
internal::codeassist::complete::CompletionOnMarkerAnnotationName ,15,5,1,0,internal codeassist complete completion on marker annotation name 
internal::compiler::parser::RecoveredImport ,26,28,0,0,internal compiler parser recovered import 
internal::core::builder::BuildNotifier ,189,36,8,0,internal core builder build notifier 
internal::formatter::comment::CommentFormatterUtil ,55,3,2,0,internal formatter comment comment formatter util 
internal::compiler::flow::NullInfoRegistry ,312,5,4,0,internal compiler flow null info registry 
internal::compiler::ast::Reference ,42,36,3,1,internal compiler ast reference 
internal::core::CreateTypeMemberOperation ,126,49,8,1,internal core create type member operation 
internal::core::util::RuntimeVisibleAnnotationsAttribute ,22,6,0,0,internal core util runtime visible annotations attribute 
internal::core::util::WeakHashSet ,143,6,1,0,internal core util weak hash set 
core::JavaConventions ,219,140,24,1,core java conventions 
internal::compiler::impl::StringConstant ,27,29,0,0,internal compiler impl string constant 
internal::compiler::lookup::Binding ,18,41,7,0,internal compiler lookup binding 
core::dom::DoStatement ,106,41,10,0,core dom do statement 
internal::compiler::util::GenericXMLWriter ,99,4,3,0,internal compiler util generic writer 
internal::core::Region ,89,31,2,0,internal core region 
internal::codeassist::impl::AssistCompilationUnit ,21,0,1,0,internal codeassist impl assist compilation unit 
internal::core::BatchOperation ,28,13,1,0,internal core batch operation 
internal::core::JarPackageFragmentRoot ,185,85,19,0,internal core jar package fragment root 
internal::codeassist::CompletionEngine ,7341,412,205,7,internal codeassist completion engine 
internal::compiler::ast::TryStatement ,784,138,31,3,internal compiler ast try statement 
internal::compiler::lookup::ParameterizedGenericMethodBinding ,412,89,44,0,internal compiler lookup parameterized generic method binding 
core::dom::Javadoc ,108,50,8,0,core dom javadoc 
internal::core::ElementCache ,36,21,4,0,internal core element cache 
internal::compiler::lookup::ReferenceBinding ,840,180,50,1,internal compiler lookup reference binding 
core::dom::InfixExpression ,158,41,11,0,core dom infix expression 
internal::codeassist::complete::CompletionOnJavadocAllocationExpression ,56,5,4,0,internal codeassist complete completion on javadoc allocation expression 
internal::compiler::util::HashtableOfInt ,71,27,0,0,internal compiler util hashtable of int 
internal::compiler::env::ClassSignature ,12,1,0,0,internal compiler env class signature 
internal::formatter::CodeFormatterVisitor ,1248,251,132,2,internal formatter code formatter visitor 
internal::core::util::ParameterAnnotation ,25,8,1,0,internal core util parameter annotation 
internal::compiler::ast::LabeledStatement ,92,57,8,0,internal compiler ast labeled statement 
core::dom::NormalAnnotation ,67,22,4,0,core dom normal annotation 
core::dom::BlockComment ,31,20,3,0,core dom block comment 
internal::core::util::SimpleWordSet ,43,8,1,0,internal core util simple word set 
internal::compiler::ast::AnnotationMethodDeclaration ,128,20,2,0,internal compiler ast annotation method declaration 
core::search::ReferenceMatch ,10,0,1,1,core search reference match 
internal::codeassist::impl::AssistSourceField ,41,1,2,0,internal codeassist impl assist source field 
core::dom::DefaultASTVisitor ,15,8,7,0,core dom default visitor 
internal::core::JavaElementDeltaBuilder ,354,47,8,0,internal core java element delta builder 
internal::core::ClassFileWorkingCopy ,68,64,7,0,internal core class file working copy 
internal::compiler::ast::AllocationExpression ,337,95,20,1,internal compiler ast allocation expression 
internal::compiler::SourceElementNotifier ,299,1,2,0,internal compiler source element notifier 
core::dom::ASTVisitor ,15,34,5,0,core dom visitor 
internal::core::util::BindingKeyParser ,423,39,24,0,internal core util binding key parser 
core::dom::Modifier ,96,35,6,0,core dom modifier 
internal::core::dom::rewrite::RewriteEvent ,0,6,0,0,internal core dom rewrite rewrite event 
internal::core::util::MethodInfo ,123,23,3,0,internal core util method info 
internal::core::builder::AbstractImageBuilder ,639,149,41,2,internal core builder abstract image builder 
internal::compiler::ast::NullLiteral ,32,26,7,0,internal compiler ast null literal 
internal::compiler::flow::InsideSubRoutineFlowContext ,27,26,6,0,internal compiler flow inside sub routine flow context 
internal::compiler::util::ObjectVector ,78,34,3,0,internal compiler util object vector 
core::dom::AnonymousClassDeclaration ,53,26,7,0,core dom anonymous class declaration 
internal::compiler::ast::QualifiedTypeReference ,105,69,16,0,internal compiler ast qualified type reference 
internal::compiler::ast::OR_OR_Expression ,226,49,12,0,internal compiler ast expression 
internal::core::util::SourceFileAttribute ,15,12,0,0,internal core util source file attribute 
core::dom::Expression ,15,13,2,0,core dom expression 
internal::compiler::util::Messages ,80,17,7,0,internal compiler util messages 
internal::core::CopyElementsOperation ,124,56,8,0,internal core copy elements operation 
internal::compiler::ast::SynchronizedStatement ,158,65,17,0,internal compiler ast synchronized statement 
internal::core::RenameElementsOperation ,28,30,3,0,internal core rename elements operation 
internal::core::jdom::DOMImport ,62,38,4,0,internal core jdom import 
internal::compiler::ast::SingleTypeReference ,63,45,4,0,internal compiler ast single type reference 
internal::codeassist::InternalCompletionProposal ,127,11,5,1,internal codeassist internal completion proposal 
internal::compiler::ast::UnaryExpression ,253,62,10,0,internal compiler ast unary expression 
core::dom::ASTRecoveryPropagator ,261,8,7,0,core dom recovery propagator 
core::Flags ,95,47,2,0,core flags 
internal::core::CreatePackageDeclarationOperation ,57,39,8,0,internal core create package declaration operation 
internal::compiler::problem::AbortMethod ,3,17,3,0,internal compiler problem abort method 
internal::core::JavaElementDelta ,485,68,14,0,internal core java element delta 
core::dom::WhileStatement ,106,39,9,0,core dom while statement 
core::dom::InstanceofExpression ,106,34,8,0,core dom instanceof expression 
internal::compiler::impl::CharConstant ,38,33,1,0,internal compiler impl char constant 
internal::compiler::lookup::LocalTypeBinding ,186,61,11,0,internal compiler lookup local type binding 
internal::compiler::impl::CompilerOptions ,974,232,76,1,internal compiler impl compiler options 
internal::core::eval::RequestorWrapper ,36,23,4,0,internal core eval requestor wrapper 
internal::compiler::parser::ScannerHelper ,136,21,2,0,internal compiler parser scanner helper 
internal::core::search::matching::MultiTypeDeclarationPattern ,146,14,10,1,internal core search matching multi type declaration pattern 
internal::core::SelectionRequestor ,781,89,26,0,internal core selection requestor 
core::dom::FieldDeclaration ,136,58,13,0,core dom field declaration 
internal::eval::GlobalVariable ,26,25,0,0,internal eval global variable 
core::dom::MemberValuePairBinding ,152,5,6,0,core dom member value pair binding 
internal::core::hierarchy::TypeHierarchy ,1119,121,27,1,internal core hierarchy type hierarchy 
internal::compiler::lookup::ParameterizedTypeBinding ,866,183,69,2,internal compiler lookup parameterized type binding 
internal::codeassist::select::SelectionOnArgumentName ,26,14,1,0,internal codeassist select selection on argument name 
internal::eval::CodeSnippetTypeDeclaration ,56,22,3,0,internal eval code snippet type declaration 
internal::eval::EvaluationResult ,99,28,2,0,internal eval evaluation result 
internal::core::search::indexing::IndexingParser ,31,2,1,0,internal core search indexing indexing parser 
core::JDTCompilerAdapter ,21,79,30,0,core compiler adapter 
internal::codeassist::CompletionRequestorWrapper ,306,6,0,1,internal codeassist completion requestor wrapper 
internal::core::CreateElementInCUOperation ,142,51,9,0,internal core create element in operation 
internal::core::dom::rewrite::ListRewriteEvent ,121,10,2,0,internal core dom rewrite list rewrite event 
core::dom::Assignment ,132,38,9,0,core dom assignment 
core::dom::NullLiteral ,31,29,5,0,core dom null literal 
internal::core::JavaElement ,505,155,36,1,internal core java element 
internal::formatter::comment::CommentLine ,149,4,1,0,internal formatter comment comment line 
internal::codeassist::complete::CompletionOnMessageSend ,41,36,2,0,internal codeassist complete completion on message send 
core::dom::ArrayInitializer ,45,26,5,0,core dom array initializer 
internal::codeassist::impl::AssistTypeParameter ,7,0,1,0,internal codeassist impl assist type parameter 
internal::formatter::align::AlignmentException ,21,10,0,0,internal formatter align alignment exception 
core::CompletionFlags ,6,0,1,0,core completion flags 
core::compiler::CategorizedProblem ,6,22,4,0,core compiler categorized problem 
internal::compiler::ast::AbstractMethodDeclaration ,314,125,35,0,internal compiler ast abstract method declaration 
internal::core::util::Messages ,6,25,17,1,internal core util messages 
internal::core::CreateFieldOperation ,77,41,10,0,internal core create field operation 
internal::codeassist::complete::CompletionOnJavadocQualifiedTypeReference ,56,3,3,0,internal codeassist complete completion on javadoc qualified type reference 
internal::codeassist::complete::CompletionOnLocalName ,25,17,2,0,internal codeassist complete completion on local name 
core::dom::rewrite::ImportRewrite ,356,15,7,0,core dom rewrite import rewrite 
core::formatter::CodeFormatterApplication ,200,14,6,0,core formatter code formatter application 
internal::core::BecomeWorkingCopyOperation ,38,23,6,0,internal core become working copy operation 
internal::compiler::lookup::UnresolvedAnnotationBinding ,37,3,1,1,internal compiler lookup unresolved annotation binding 
core::compiler::batch::BatchCompiler ,6,2,1,0,core compiler batch batch compiler 
internal::core::util::SimpleDocument ,145,9,0,0,internal core util simple document 
internal::core::search::matching::ConstructorPattern ,154,54,15,1,internal core search matching constructor pattern 
core::dom::RecoveredTypeBinding ,402,11,10,0,core dom recovered type binding 
