file,loc,noc,bf,bug
internal::compiler::ast::CastExpression ,431,155,50,1,internal compiler ast cast expression 
internal::core::ClassFileInfo ,149,52,6,1,internal core class file info 
internal::core::DeltaProcessor ,2116,367,101,2,internal core delta processor 
core::dom::TypeDeclaration ,303,70,18,0,core dom type declaration 
internal::compiler::codegen::ConstantPool ,329,79,16,1,internal compiler codegen constant pool 
core::dom::VariableDeclarationExpression ,156,55,11,0,core dom variable declaration expression 
internal::compiler::classfmt::ElementValuePairInfo ,28,3,0,0,internal compiler classfmt element value pair info 
internal::compiler::util::FloatUtil ,311,3,1,0,internal compiler util float util 
internal::compiler::lookup::NestedTypeBinding ,115,26,5,1,internal compiler lookup nested type binding 
internal::core::ResolvedSourceField ,23,7,2,0,internal core resolved source field 
internal::compiler::SourceElementRequestorAdapter ,66,28,15,0,internal compiler source element requestor adapter 
internal::codeassist::InternalExtendedCompletionContext ,648,3,4,2,internal codeassist internal extended completion context 
internal::compiler::ast::AbstractVariableDeclaration ,57,41,1,0,internal compiler ast abstract variable declaration 
core::dom::AnnotationTypeMemberDeclaration ,170,32,8,0,core dom annotation type member declaration 
internal::compiler::parser::TypeConverter ,246,1,2,0,internal compiler parser type converter 
internal::core::util::VerificationInfo ,37,3,0,0,internal core util verification info 
internal::core::SimpleDelta ,44,5,2,0,internal core simple delta 
internal::codeassist::impl::AssistSourceMethod ,44,1,2,0,internal codeassist impl assist source method 
internal::compiler::classfmt::AnnotationMethodInfo ,95,6,0,0,internal compiler classfmt annotation method info 
internal::core::search::matching::IntersectingPattern ,49,2,2,1,internal core search matching intersecting pattern 
internal::compiler::problem::AbortCompilationUnit ,4,18,4,0,internal compiler problem abort compilation unit 
internal::codeassist::complete::CompletionOnArgumentName ,27,19,2,0,internal codeassist complete completion on argument name 
core::NamingConventions ,142,38,9,2,core naming conventions 
internal::core::OverflowingLRUCache ,233,51,5,0,internal core overflowing cache 
internal::core::SourceMethodElementInfo ,34,28,3,0,internal core source method element info 
internal::core::util::FieldInfo ,92,18,1,0,internal core util field info 
internal::formatter::FormatJavadoc ,27,1,3,0,internal formatter format javadoc 
internal::compiler::codegen::IntegerCache ,94,31,1,0,internal compiler codegen integer cache 
core::search::PackageReferenceMatch ,3,20,2,1,core search package reference match 
internal::compiler::parser::RecoveredMethod ,409,83,15,0,internal compiler parser recovered method 
internal::core::search::matching::MethodPattern ,180,80,23,1,internal core search matching method pattern 
internal::core::eval::EvaluationContextWrapper ,195,76,2,0,internal core eval evaluation context wrapper 
internal::compiler::flow::InitializationFlowContext ,54,23,0,2,internal compiler flow initialization flow context 
internal::compiler::ast::Assignment ,221,112,28,0,internal compiler ast assignment 
internal::compiler::lookup::TypeVariableBinding ,333,113,45,1,internal compiler lookup type variable binding 
internal::core::util::RecordedParsingInformation ,12,8,5,0,internal core util recorded parsing information 
core::formatter::CodeFormatter ,3,25,13,0,core formatter code formatter 
internal::compiler::ast::MagicLiteral ,12,17,0,0,internal compiler ast magic literal 
internal::core::BufferCache ,32,25,3,0,internal core buffer cache 
internal::compiler::classfmt::AnnotationInfo ,316,6,1,0,internal compiler classfmt annotation info 
core::dom::rewrite::ListRewrite ,128,15,3,0,core dom rewrite list rewrite 
internal::formatter::FormatJavadocReference ,10,3,3,0,internal formatter format javadoc reference 
internal::core::CreateInitializerOperation ,59,37,7,0,internal core create initializer operation 
internal::core::dom::rewrite::TokenScanner ,78,14,2,0,internal core dom rewrite token scanner 
internal::core::builder::AbortIncrementalBuildException ,3,8,0,0,internal core builder abort incremental build exception 
internal::compiler::ReadManager ,153,1,1,2,internal compiler read manager 
core::search::SearchMatch ,111,39,13,0,core search search match 
core::dom::rewrite::TargetSourceRangeComputer ,11,4,2,0,core dom rewrite target source range computer 
internal::core::index::DiskIndex ,1117,91,40,0,internal core index disk index 
internal::core::JarEntryDirectory ,32,2,1,0,internal core jar entry directory 
internal::eval::CodeSnippetReturnStatement ,101,48,3,1,internal eval code snippet return statement 
internal::core::util::RuntimeVisibleParameterAnnotationsAttribute ,22,5,0,0,internal core util runtime visible parameter annotations attribute 
internal::compiler::impl::LongConstant ,40,34,1,0,internal compiler impl long constant 
internal::compiler::parser::RecoveredType ,468,79,12,0,internal compiler parser recovered type 
internal::compiler::lookup::SyntheticArgumentBinding ,10,21,4,0,internal compiler lookup synthetic argument binding 
core::CompletionRequestor ,79,18,10,0,core completion requestor 
core::search::TypeDeclarationMatch ,3,16,0,0,core search type declaration match 
internal::codeassist::select::SelectionOnQualifiedAllocationExpression ,59,37,4,0,internal codeassist select selection on qualified allocation expression 
internal::compiler::ast::EqualExpression ,799,90,21,0,internal compiler ast equal expression 
internal::core::jdom::CompilationUnit ,30,29,0,0,internal core jdom compilation unit 
internal::core::search::matching::ConstructorLocator ,222,37,12,1,internal core search matching constructor locator 
internal::compiler::parser::RecoveredUnit ,158,46,6,0,internal compiler parser recovered unit 
internal::core::dom::rewrite::LineInformation ,10,3,0,0,internal core dom rewrite line information 
internal::core::TypeParameterElementInfo ,0,3,0,0,internal core type parameter element info 
internal::eval::CodeSnippetMessageSend ,311,78,12,2,internal eval code snippet message send 
core::dom::EnumDeclaration ,118,34,8,0,core dom enum declaration 
core::search::LocalVariableDeclarationMatch ,3,16,0,0,core search local variable declaration match 
internal::codeassist::complete::CompletionOnSingleTypeReference ,63,38,5,0,internal codeassist complete completion on single type reference 
core::dom::PostfixExpression ,96,36,8,0,core dom postfix expression 
internal::core::search::indexing::IndexRequest ,24,30,0,0,internal core search indexing index request 
internal::core::util::AnnotationDefaultAttribute ,7,5,0,0,internal core util annotation default attribute 
core::dom::TryStatement ,108,37,8,0,core dom try statement 
core::dom::VariableDeclaration ,15,17,3,0,core dom variable declaration 
internal::codeassist::complete::CompletionOnMethodTypeParameter ,22,11,1,0,internal codeassist complete completion on method type parameter 
internal::compiler::ast::MarkerAnnotation ,16,14,2,0,internal compiler ast marker annotation 
internal::compiler::ast::FloatLiteral ,85,24,2,0,internal compiler ast float literal 
internal::compiler::ast::WhileStatement ,232,78,15,0,internal compiler ast while statement 
internal::formatter::DefaultCodeFormatterOptions ,2140,110,63,2,internal formatter default code formatter options 
internal::core::ClasspathValidation ,51,0,0,1,internal core classpath validation 
internal::compiler::lookup::ProblemPackageBinding ,6,16,0,0,internal compiler lookup problem package binding 
internal::core::search::JavaSearchDocument ,51,19,3,0,internal core search java search document 
core::dom::Statement ,48,35,7,0,core dom statement 
internal::compiler::ast::Statement ,99,58,9,0,internal compiler ast statement 
core::dom::ImportDeclaration ,121,45,10,0,core dom import declaration 
internal::codeassist::select::SelectionOnFieldReference ,23,28,1,0,internal codeassist select selection on field reference 
internal::core::PackageDeclaration ,30,38,4,0,internal core package declaration 
core::dom::CompilationUnitResolver ,282,154,54,0,core dom compilation unit resolver 
internal::core::TypeVector ,78,24,0,0,internal core type vector 
internal::compiler::ast::FalseLiteral ,38,23,2,0,internal compiler ast false literal 
internal::core::SourceRefElementInfo ,15,16,0,0,internal core source ref element info 
internal::core::SourceFieldElementInfo ,12,20,3,0,internal core source field element info 
internal::compiler::ast::ConditionalExpression ,445,117,24,0,internal compiler ast conditional expression 
internal::core::JarEntryFile ,38,31,1,0,internal core jar entry file 
internal::codeassist::complete::CompletionOnMemberAccess ,38,31,3,0,internal codeassist complete completion on member access 
internal::core::util::ExceptionTableEntry ,28,10,0,0,internal core util exception table entry 
internal::compiler::ast::FieldReference ,547,149,43,6,internal compiler ast field reference 
internal::core::CommitWorkingCopyOperation ,141,72,14,0,internal core commit working copy operation 
internal::compiler::parser::RecoveredField ,186,46,7,0,internal compiler parser recovered field 
internal::core::UserLibraryManager ,128,21,6,0,internal core user library manager 
internal::core::SourceTypeElementInfo ,193,47,7,0,internal core source type element info 
internal::compiler::ast::JavadocAllocationExpression ,142,45,27,0,internal compiler ast javadoc allocation expression 
internal::compiler::classfmt::MethodInfo ,392,67,13,0,internal compiler classfmt method info 
core::JavaCore ,1058,708,172,4,core java core 
internal::core::util::CodeAttribute ,1081,29,4,1,internal core util code attribute 
internal::core::eval::GlobalVariableWrapper ,17,13,0,0,internal core eval global variable wrapper 
internal::compiler::classfmt::ClassFileStruct ,67,40,2,0,internal compiler classfmt class file struct 
core::dom::TextElement ,63,22,5,0,core dom text element 
internal::codeassist::select::SelectionJavadocParser ,123,8,4,0,internal codeassist select selection javadoc parser 
internal::core::BinaryField ,81,44,9,2,internal core binary field 
internal::core::util::CommentRecorderParser ,193,34,24,1,internal core util comment recorder parser 
core::dom::DocCommentParser ,638,47,36,1,core dom doc comment parser 
internal::compiler::ast::MemberValuePair ,189,40,16,0,internal compiler ast member value pair 
internal::compiler::impl::Constant ,1500,45,7,0,internal compiler impl constant 
core::dom::MethodInvocation ,137,45,11,0,core dom method invocation 
internal::core::util::StackMapTableAttribute ,33,3,1,0,internal core util stack map table attribute 
internal::core::PackageFragment ,356,103,23,0,internal core package fragment 
internal::codeassist::select::SelectionOnQualifiedTypeReference ,38,32,3,0,internal codeassist select selection on qualified type reference 
internal::core::search::JavaSearchTypeNameMatch ,35,0,1,0,internal core search java search type name match 
internal::core::search::indexing::IndexManager ,644,197,33,3,internal core search indexing index manager 
internal::core::JarPackageFragment ,127,50,6,0,internal core jar package fragment 
internal::codeassist::impl::AssistImportDeclaration ,7,0,1,0,internal codeassist impl assist import declaration 
internal::compiler::ast::IntLiteral ,110,30,4,0,internal compiler ast int literal 
internal::compiler::parser::Parser ,0,519,173,4,internal compiler parser parser 
internal::core::builder::State ,560,73,18,1,internal core builder state 
internal::eval::CodeSnippetEvaluator ,144,39,8,0,internal eval code snippet evaluator 
core::dom::TypeDeclarationStatement ,123,51,12,0,core dom type declaration statement 
internal::compiler::batch::ClasspathJar ,155,56,9,1,internal compiler batch classpath jar 
internal::core::search::matching::JavaSearchNameEnvironment ,140,31,10,0,internal core search matching java search name environment 
internal::eval::InstallException ,3,17,0,0,internal eval install exception 
internal::core::search::HierarchyScope ,240,55,6,0,internal core search hierarchy scope 
core::search::TypeNameMatch ,23,9,10,0,core search type name match 
internal::core::SearchableEnvironmentRequestor ,44,24,7,0,internal core searchable environment requestor 
internal::compiler::batch::CompilationUnit ,50,38,4,0,internal compiler batch compilation unit 
internal::core::dom::NaiveASTFlattener ,48,0,1,0,internal core dom naive flattener 
internal::compiler::lookup::MethodVerifier15 ,747,105,80,8,internal compiler lookup method verifier 
internal::compiler::parser::RecoveryScannerData ,42,1,1,0,internal compiler parser recovery scanner data 
internal::core::search::matching::InternalSearchPattern ,64,16,4,1,internal core search matching internal search pattern 
internal::formatter::DefaultCodeFormatter ,370,87,31,0,internal formatter default code formatter 
core::dom::MemberValuePair ,109,31,6,0,core dom member value pair 
internal::codeassist::complete::CompletionOnImportReference ,12,25,0,0,internal codeassist complete completion on import reference 
internal::core::UserLibrary ,141,24,9,0,internal core user library 
internal::compiler::ast::BinaryExpression ,1782,80,18,0,internal compiler ast binary expression 
internal::core::builder::ClasspathLocation ,18,25,5,0,internal core builder classpath location 
internal::core::ResolvedSourceType ,26,10,4,0,internal core resolved source type 
internal::core::DiscardWorkingCopyOperation ,41,12,6,0,internal core discard working copy operation 
core::dom::ChildPropertyDescriptor ,18,8,1,0,core dom child property descriptor 
internal::codeassist::impl::AssistOptions ,155,35,8,0,internal codeassist impl assist options 
internal::compiler::lookup::WildcardBinding ,533,98,28,1,internal compiler lookup wildcard binding 
internal::compiler::ast::ArrayAllocationExpression ,142,54,5,0,internal compiler ast array allocation expression 
internal::core::search::matching::SecondaryTypeDeclarationPattern ,13,1,1,1,internal core search matching secondary type declaration pattern 
core::dom::EnhancedForStatement ,141,34,5,0,core dom enhanced for statement 
internal::core::JavaElementRequestor ,105,16,0,0,internal core java element requestor 
internal::compiler::lookup::Scope ,2877,449,214,8,internal compiler lookup scope 
core::dom::BindingComparator ,3,30,19,0,core dom binding comparator 
internal::formatter::AbortFormatting ,4,7,0,0,internal formatter abort formatting 
internal::core::util::ResourceCompilationUnit ,15,8,3,0,internal core util resource compilation unit 
internal::core::CompilationUnitProblemFinder ,57,73,21,0,internal core compilation unit problem finder 
internal::compiler::ast::PostfixExpression ,39,35,0,0,internal compiler ast postfix expression 
internal::compiler::problem::ProblemReporter ,6571,478,194,8,internal compiler problem problem reporter 
internal::codeassist::complete::CompletionOnKeyword1 ,23,11,2,0,internal codeassist complete completion on keyword 
internal::compiler::lookup::ClassScope ,1091,238,82,1,internal compiler lookup class scope 
internal::core::search::PathCollector ,12,20,1,0,internal core search path collector 
internal::compiler::ast::BranchStatement ,39,34,10,0,internal compiler ast branch statement 
internal::codeassist::complete::CompletionJavadoc ,222,5,1,0,internal codeassist complete completion javadoc 
internal::formatter::Scribe ,3184,171,102,9,internal formatter scribe 
internal::core::MemberElementInfo ,18,21,2,0,internal core member element info 
internal::codeassist::impl::AssistPackageDeclaration ,10,0,1,0,internal codeassist impl assist package declaration 
core::search::SearchParticipant ,30,38,11,0,core search search participant 
internal::compiler::problem::AbortType ,3,17,3,0,internal compiler problem abort type 
internal::compiler::parser::RecoveredAnnotation ,184,1,2,0,internal compiler parser recovered annotation 
internal::core::util::LocalVariableTableEntry ,38,8,0,0,internal core util local variable table entry 
internal::compiler::codegen::LongCache ,94,30,1,0,internal compiler codegen long cache 
internal::core::search::matching::MatchingNodeSet ,149,45,9,0,internal core search matching matching node set 
internal::core::search::indexing::SourceIndexerRequestor ,235,62,20,0,internal core search indexing source indexer requestor 
internal::compiler::ast::QualifiedNameReference ,986,170,48,7,internal compiler ast qualified name reference 
internal::compiler::classfmt::InnerClassInfo ,72,29,3,0,internal compiler classfmt inner class info 
internal::codeassist::select::SelectionOnParameterizedQualifiedTypeReference ,43,14,3,0,internal codeassist select selection on parameterized qualified type reference 
internal::core::search::matching::LocalVariablePattern ,43,33,8,0,internal core search matching local variable pattern 
internal::compiler::codegen::CodeStream ,6017,216,66,3,internal compiler codegen code stream 
core::dom::StringLiteral ,166,50,10,1,core dom string literal 
internal::core::MovePackageFragmentRootOperation ,231,20,3,0,internal core move package fragment root operation 
internal::compiler::codegen::StackMapFrameCodeStream ,395,28,17,2,internal compiler codegen stack map frame code stream 
internal::formatter::align::Alignment ,270,34,18,0,internal formatter align alignment 
internal::codeassist::complete::InvalidCursorLocation ,3,29,0,0,internal codeassist complete invalid cursor location 
internal::core::search::SubTypeSearchJob ,24,53,2,0,internal core search sub type search job 
internal::core::ChangeClasspathOperation ,63,11,7,0,internal core change classpath operation 
internal::formatter::CascadingMethodInvocationFragmentBuilder ,26,8,4,0,internal formatter cascading method invocation fragment builder 
internal::core::util::ASTNodeFinder ,129,13,3,0,internal core util node finder 
internal::codeassist::complete::CompletionOnParameterizedQualifiedTypeReference ,67,14,2,0,internal codeassist complete completion on parameterized qualified type reference 
core::search::LocalVariableReferenceMatch ,12,20,2,0,core search local variable reference match 
internal::compiler::parser::diagnose::RangeUtil ,60,13,5,0,internal compiler parser diagnose range util 
internal::core::builder::QualifiedNameSet ,44,9,1,0,internal core builder qualified name set 
internal::codeassist::CompletionUnitStructureRequestor ,128,1,2,0,internal codeassist completion unit structure requestor 
internal::core::util::InnerClassesAttribute ,21,15,1,0,internal core util inner classes attribute 
internal::compiler::env::AccessRestriction ,11,15,4,0,internal compiler env access restriction 
internal::eval::CodeSnippetThisReference ,75,43,2,0,internal eval code snippet this reference 
internal::core::PackageFragmentInfo ,25,40,2,0,internal core package fragment info 
internal::compiler::lookup::ImportConflictBinding ,10,2,1,0,internal compiler lookup import conflict binding 
core::dom::PrefixExpression ,97,37,8,0,core dom prefix expression 
internal::compiler::parser::diagnose::LexStream ,212,14,6,0,internal compiler parser diagnose lex stream 
internal::core::search::indexing::AbstractIndexer ,137,55,8,0,internal core search indexing abstract indexer 
core::dom::Annotation ,53,20,5,0,core dom annotation 
internal::core::ClasspathAttribute ,21,1,0,0,internal core classpath attribute 
internal::compiler::lookup::BinaryLocalVariableBinding ,7,0,0,0,internal compiler lookup binary local variable binding 
internal::codeassist::complete::CompletionNodeDetector ,29,17,3,0,internal codeassist complete completion node detector 
core::dom::IfStatement ,128,40,10,0,core dom if statement 
internal::core::search::matching::QualifiedTypeDeclarationPattern ,100,47,10,1,internal core search matching qualified type declaration pattern 
internal::compiler::ast::LocalDeclaration ,209,92,29,0,internal compiler ast local declaration 
internal::core::hierarchy::ChangeCollector ,254,10,2,0,internal core hierarchy change collector 
internal::codeassist::select::SelectionParser ,1189,115,25,1,internal codeassist select selection parser 
core::dom::Comment ,24,8,0,0,core dom comment 
internal::core::search::matching::DeclarationOfAccessedFieldsPattern ,7,29,3,1,internal core search matching declaration of accessed fields pattern 
internal::codeassist::complete::CompletionOnJavadocFieldReference ,76,5,4,0,internal codeassist complete completion on javadoc field reference 
internal::core::JavaModelCache ,166,37,7,1,internal core java model cache 
internal::compiler::util::HashtableOfPackage ,79,30,1,0,internal compiler util hashtable of package 
internal::core::ResolvedSourceMethod ,23,7,2,0,internal core resolved source method 
internal::core::Member ,312,59,19,0,internal core member 
internal::core::SourceMapper ,909,166,48,1,internal core source mapper 
core::util::OpcodeStringValues ,0,14,2,1,core util opcode string values 
core::formatter::IndentManipulation ,235,6,3,0,core formatter indent manipulation 
core::dom::AbstractTypeDeclaration ,61,21,6,0,core dom abstract type declaration 
core::dom::SwitchCase ,75,39,9,0,core dom switch case 
internal::compiler::SourceElementParser ,849,123,21,0,internal compiler source element parser 
core::dom::TypeLiteral ,72,36,8,0,core dom type literal 
internal::compiler::ast::StringLiteralConcatenation ,46,5,1,0,internal compiler ast string literal concatenation 
internal::core::search::PatternSearchJob ,75,71,8,0,internal core search pattern search job 
internal::compiler::ast::DoStatement ,163,72,17,0,internal compiler ast do statement 
internal::core::util::Util ,1892,154,68,4,internal core util util 
internal::codeassist::select::SelectionNodeFound ,4,25,2,0,internal codeassist select selection node found 
internal::eval::CodeSnippetSkeleton ,66,52,8,0,internal eval code snippet skeleton 
core::search::TypeNameRequestor ,3,6,3,0,core search type name requestor 
internal::core::search::matching::PackageReferenceLocator ,256,64,26,3,internal core search matching package reference locator 
internal::core::dom::rewrite::SourceModifier ,18,14,1,0,internal core dom rewrite source modifier 
internal::codeassist::complete::CompletionOnMessageSendName ,44,2,2,0,internal codeassist complete completion on message send name 
internal::compiler::problem::ProblemHandler ,38,42,13,0,internal compiler problem problem handler 
internal::core::DeltaProcessingState ,419,62,26,1,internal core delta processing state 
internal::core::SetClasspathOperation ,44,180,32,1,internal core set classpath operation 
internal::core::jdom::DOMCompilationUnit ,89,46,5,0,internal core jdom compilation unit 
internal::core::SetVariablesOperation ,152,7,4,0,internal core set variables operation 
core::dom::MarkerAnnotation ,54,22,4,0,core dom marker annotation 
internal::core::search::matching::TypeDeclarationPattern ,240,81,16,1,internal core search matching type declaration pattern 
internal::codeassist::select::SelectionOnSuperReference ,16,27,1,0,internal codeassist select selection on super reference 
internal::core::JavaModelManager ,2475,458,141,9,internal core java model manager 
internal::core::BufferManager ,70,44,4,0,internal core buffer manager 
internal::core::search::matching::ClasspathSourceDirectory ,72,25,7,0,internal core search matching classpath source directory 
internal::core::search::indexing::AddJarFileToIndex ,195,100,5,1,internal core search indexing add jar file to index 
core::dom::SingleVariableDeclaration ,257,64,13,0,core dom single variable declaration 
internal::compiler::ast::SuperReference ,41,38,2,0,internal compiler ast super reference 
internal::core::util::ToStringSorter ,42,20,0,0,internal core util to string sorter 
internal::compiler::ast::DoubleLiteral ,85,24,2,0,internal compiler ast double literal 
internal::compiler::util::HashtableOfIntValues ,115,6,0,0,internal compiler util hashtable of int values 
internal::compiler::classfmt::FieldInfoWithAnnotation ,40,3,0,0,internal compiler classfmt field info with annotation 
internal::compiler::ast::Clinit ,231,72,14,2,internal compiler ast clinit 
internal::codeassist::complete::CompletionOnKeyword2 ,18,13,2,0,internal codeassist complete completion on keyword 
core::compiler::CompilationProgress ,0,0,1,0,core compiler compilation progress 
internal::core::dom::rewrite::ImportRewriteAnalyzer ,606,10,7,1,internal core dom rewrite import rewrite analyzer 
internal::compiler::lookup::SyntheticMethodBinding ,166,25,10,2,internal compiler lookup synthetic method binding 
internal::core::dom::rewrite::NodeInfoStore ,74,13,3,0,internal core dom rewrite node info store 
core::dom::QualifiedName ,110,49,14,0,core dom qualified name 
core::dom::SuperConstructorInvocation ,101,39,8,0,core dom super constructor invocation 
core::ClasspathVariableInitializer ,3,13,0,0,core classpath variable initializer 
internal::core::ClassFile ,549,164,44,0,internal core class file 
internal::compiler::util::HashtableOfLong ,74,8,1,0,internal compiler util hashtable of long 
internal::compiler::codegen::BranchLabel ,199,16,9,1,internal compiler codegen branch label 
internal::core::util::LocalVariableTypeTableEntry ,38,5,0,0,internal core util local variable type table entry 
internal::compiler::lookup::AnnotationHolder ,32,3,0,0,internal compiler lookup annotation holder 
internal::compiler::ast::CompoundAssignment ,150,74,6,0,internal compiler ast compound assignment 
core::search::TypeParameterReferenceMatch ,4,2,1,0,core search type parameter reference match 
internal::core::ClasspathAccessRule ,27,6,2,0,internal core classpath access rule 
internal::core::CompilationUnit ,830,290,73,1,internal core compilation unit 
internal::core::search::matching::SuperTypeNamesCollector ,162,71,14,0,internal core search matching super type names collector 
internal::core::DocumentAdapter ,12,1,1,0,internal core document adapter 
internal::compiler::lookup::MethodVerifier ,736,130,49,3,internal compiler lookup method verifier 
internal::core::jdom::DOMInitializer ,89,38,4,0,internal core jdom initializer 
internal::codeassist::complete::CompletionOnJavadocTypeParamReference ,17,5,3,0,internal codeassist complete completion on javadoc type param reference 
internal::codeassist::complete::CompletionOnQualifiedTypeReference ,63,34,3,0,internal codeassist complete completion on qualified type reference 
internal::compiler::ast::SingleMemberAnnotation ,34,19,2,0,internal compiler ast single member annotation 
internal::core::util::BindingKeyResolver ,435,55,27,0,internal core util binding key resolver 
internal::compiler::ast::CharLiteral ,72,25,1,0,internal compiler ast char literal 
internal::codeassist::impl::AssistParser ,1384,112,34,0,internal codeassist impl assist parser 
internal::core::ImportDeclaration ,57,47,7,0,internal core import declaration 
internal::core::jdom::SiblingEnumeration ,13,16,1,0,internal core jdom sibling enumeration 
internal::codeassist::complete::CompletionOnSingleNameReference ,17,29,3,0,internal codeassist complete completion on single name reference 
internal::core::Initializer ,67,47,7,0,internal core initializer 
core::dom::rewrite::ASTRewrite ,281,46,13,1,core dom rewrite rewrite 
internal::core::search::indexing::RemoveFromIndex ,25,46,1,0,internal core search indexing remove from index 
internal::compiler::ast::NameReference ,34,24,3,0,internal compiler ast name reference 
core::dom::EnumConstantDeclaration ,141,38,9,0,core dom enum constant declaration 
internal::core::search::matching::FieldLocator ,274,67,24,1,internal core search matching field locator 
internal::core::SourceField ,120,60,13,0,internal core source field 
core::dom::DefaultBindingResolver ,1106,188,110,1,core dom default binding resolver 
internal::compiler::parser::RecoveredLocalVariable ,107,33,2,0,internal compiler parser recovered local variable 
internal::codeassist::select::SelectionOnParameterizedSingleTypeReference ,21,3,0,0,internal codeassist select selection on parameterized single type reference 
internal::formatter::comment::JavaDocLine ,15,2,1,0,internal formatter comment java doc line 
internal::codeassist::complete::CompletionOnBrankStatementLabel ,23,3,1,0,internal codeassist complete completion on brank statement label 
core::dom::QualifiedType ,107,34,6,0,core dom qualified type 
internal::core::ReconcileWorkingCopyOperation ,190,70,31,0,internal core reconcile working copy operation 
internal::core::builder::CompilationParticipantResult ,19,6,3,0,internal core builder compilation participant result 
core::compiler::CompilationParticipant ,24,18,5,1,core compiler compilation participant 
internal::compiler::lookup::MethodBinding ,724,142,34,3,internal compiler lookup method binding 
internal::core::hierarchy::HierarchyResolver ,629,112,36,0,internal core hierarchy hierarchy resolver 
internal::compiler::ast::ParameterizedSingleTypeReference ,244,71,29,1,internal compiler ast parameterized single type reference 
internal::codeassist::complete::CompletionOnJavadocMessageSend ,56,3,3,0,internal codeassist complete completion on javadoc message send 
internal::core::search::indexing::AddFolderToIndex ,79,32,5,0,internal core search indexing add folder to index 
internal::core::BasicCompilationUnit ,71,43,3,0,internal core basic compilation unit 
internal::compiler::lookup::BinaryTypeBinding ,947,177,46,1,internal compiler lookup binary type binding 
internal::compiler::lookup::RawTypeBinding ,129,66,24,0,internal compiler lookup raw type binding 
internal::core::SortElementsOperation ,281,49,14,0,internal core sort elements operation 
internal::compiler::lookup::CompilationUnitScope ,687,148,34,4,internal compiler lookup compilation unit scope 
core::search::FieldDeclarationMatch ,3,17,0,0,core search field declaration match 
core::jdom::DOMException ,3,21,1,0,core jdom exception 
internal::compiler::flow::UnconditionalFlowInfo ,1440,70,15,0,internal compiler flow unconditional flow info 
internal::core::util::ConstantValueAttribute ,11,14,0,0,internal core util constant value attribute 
internal::codeassist::complete::CompletionOnClassLiteralAccess ,17,27,0,0,internal codeassist complete completion on class literal access 
internal::compiler::batch::FileSystem ,198,64,18,0,internal compiler batch file system 
internal::compiler::problem::ShouldNotImplement ,3,18,0,0,internal compiler problem should not implement 
internal::codeassist::complete::CompletionScanner ,796,85,24,0,internal codeassist complete completion scanner 
internal::compiler::ast::NumberLiteral ,11,17,0,0,internal compiler ast number literal 
internal::eval::CodeSnippetScope ,308,63,11,2,internal eval code snippet scope 
internal::codeassist::select::SelectionOnImportReference ,12,25,0,0,internal codeassist select selection on import reference 
internal::compiler::codegen::Label ,3,57,10,0,internal compiler codegen label 
internal::compiler::ast::JavadocQualifiedTypeReference ,48,34,23,0,internal compiler ast javadoc qualified type reference 
internal::core::search::matching::JavaSearchPattern ,306,33,21,1,internal core search matching java search pattern 
core::dom::RecoveredVariableBinding ,87,2,4,0,core dom recovered variable binding 
core::CompletionProposal ,347,50,19,1,core completion proposal 
