file,loc,noc,bf,bug,buggy,type,refer,pattern,bind,code,locat,declar,method,java,complet,parser,compil,field,match,packag,intern,name,snippet,search,scope
internal::core::search::indexing::IndexBinaryFolder ,122,64,3,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::codegen::CachedIndexEntry ,4,1,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::ast::ASTNode ,484,119,55,1,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::lookup::MemberTypeBinding ,33,27,3,0,N,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::eval::CodeSnippetParser ,673,92,15,0,N,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
internal::formatter::Location ,16,15,13,0,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core::dom::SingleMemberAnnotation ,87,29,5,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::parser::NLSTag ,9,6,6,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::parser::RecoveredBlock ,250,51,7,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::CompilationUnitElementInfo ,9,22,1,0,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
core::dom::MemberRef ,95,24,3,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::util::Annotation ,42,10,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::codeassist::select::SelectionOnQualifiedNameReference ,42,31,4,0,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
internal::compiler::flow::LoopingFlowContext ,387,51,11,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::util::KeyKind ,53,12,7,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core::dom::ChildListPropertyDescriptor ,14,8,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::ast::TypeDeclaration ,624,192,60,3,Y,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
core::dom::ASTRequestor ,20,11,2,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::search::AbstractJavaSearchScope ,0,0,1,0,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
core::search::SearchPattern ,1126,90,37,1,Y,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
core::jdom::DOMFactory ,52,34,3,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::util::SignatureAttribute ,16,5,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::BinaryMember ,127,42,10,1,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::ast::MessageSend ,494,167,37,4,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::XMLWriter ,3,19,4,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::parser::JavadocParser ,795,91,59,3,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
internal::eval::CodeSnippetSingleNameReference ,591,75,16,2,Y,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
internal::compiler::parser::RecoveredInitializer ,166,53,6,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::util::WeakHashSetOfCharArray ,144,3,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::ast::Expression ,760,148,57,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::classfmt::MethodInfoWithAnnotations ,35,1,0,0,N,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::util::ConstantPool ,72,9,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::ast::ArrayTypeReference ,52,46,4,0,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::impl::IntConstant ,55,36,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::search::matching::SuperTypeReferencePattern ,214,81,11,1,Y,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::codeassist::complete::CompletionOnQualifiedAllocationExpression ,32,28,0,0,N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
core::dom::SuperFieldAccess ,96,38,10,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
internal::core::ExternalPackageFragmentRoot ,56,6,5,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
internal::compiler::lookup::MethodScope ,378,88,24,1,Y,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
internal::compiler::CompilationResult ,245,80,22,1,Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
internal::core::util::KeyToSignature ,258,31,18,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::jdom::DOMType ,419,57,11,0,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::ast::ForStatement ,343,85,18,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::lookup::MissingTypeBinding ,34,1,1,0,N,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::ast::TrueLiteral ,39,23,2,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::codeassist::complete::CompletionOnKeyword3 ,21,10,2,0,N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
internal::formatter::FormatJavadocText ,197,6,7,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::ImportDeclarationElementInfo ,0,9,3,0,N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::formatter::comment::SubstitutionTextReader ,81,6,4,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::ast::NormalAnnotation ,45,17,2,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::lookup::SourceTypeBinding ,1461,223,74,6,Y,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::SetContainerOperation ,167,9,5,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::lookup::AnnotationBinding ,151,11,4,0,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::LRUCacheEnumerator ,11,14,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::JavaModelInfo ,27,26,2,0,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
core::dom::MethodDeclaration ,319,72,15,0,N,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::search::matching::AndPattern ,50,49,4,1,Y,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::eval::CodeSnippetSuperReference ,25,25,1,0,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
internal::core::search::matching::OrPattern ,69,59,6,1,Y,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::util::HashSetOfArray ,109,2,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::util::ClassFileStruct ,85,13,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::codeassist::select::SelectionOnSingleTypeReference ,35,36,3,0,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::env::AccessRuleSet ,62,15,9,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::search::indexing::IndexAllProject ,207,109,10,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::codegen::ObjectCache ,83,30,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::util::ClassFileAttribute ,18,9,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::ast::ForeachStatement ,451,83,24,2,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core::dom::NodeEventHandler ,43,13,2,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::eval::CodeSnippetClassFile ,166,60,12,1,Y,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
internal::compiler::flow::FinallyFlowContext ,264,35,8,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::SourceJavadocParser ,107,12,6,0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
internal::compiler::lookup::UnresolvedReferenceBinding ,64,49,7,0,N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::CreateImportOperation ,83,48,8,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::builder::ReferenceCollection ,140,27,6,1,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::ast::InstanceOfExpression ,70,73,13,1,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core::dom::NodeSearcher ,11,8,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::util::AnnotationComponent ,27,5,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core::dom::BreakStatement ,59,33,6,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::ASTHolderCUInfo ,0,12,4,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::codeassist::complete::CompletionOnMethodReturnType ,12,10,1,0,N,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
internal::compiler::ast::ImportReference ,35,43,2,0,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::builder::ClasspathJar ,108,40,7,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::eval::VariablesInfo ,25,17,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::DeleteResourceElementsOperation ,90,51,10,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::InternalNamingConventions ,377,23,9,2,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
internal::core::search::IndexQueryRequestor ,0,8,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::flow::SwitchFlowContext ,23,41,5,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core::dom::LineComment ,31,18,3,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::ast::JavadocSingleNameReference ,30,16,10,0,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
internal::compiler::ast::SubRoutineStatement ,31,18,10,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::ProcessTaskManager ,140,6,3,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core::dom::SwitchStatement ,86,38,9,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::search::matching::SuperTypeReferenceLocator ,67,21,4,1,Y,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::SourceMethod ,222,83,17,0,N,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::hierarchy::IndexBasedHierarchyBuilder ,423,131,33,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::util::CommentRecorderScanner ,10,7,0,1,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::util::StackMapAttribute ,33,4,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core::dom::SuperMethodInvocation ,136,44,11,0,N,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
internal::codeassist::complete::CompletionOnExplicitConstructorCall ,41,27,0,0,N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
internal::formatter::old::CodeFormatter ,131,18,5,0,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::lookup::CaptureBinding ,210,32,20,0,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::lookup::ParameterizedMethodBinding ,34,48,14,0,N,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::ast::FieldDeclaration ,241,120,41,0,N,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
internal::compiler::lookup::InferenceContext ,116,4,2,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core::dom::AssertStatement ,98,37,8,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::search::matching::PackageDeclarationPattern ,17,48,2,1,Y,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
core::dom::InternalASTRewrite ,163,14,3,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
internal::compiler::classfmt::ClassFileReader ,724,110,27,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::search::JavaSearchParticipant ,46,20,3,0,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
internal::core::ImportContainer ,63,43,8,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core::dom::TypeParameter ,91,35,5,0,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::env::NameEnvironmentAnswer ,34,29,2,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
core::CompletionContext ,123,17,14,1,Y,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
internal::core::index::EntryResult ,56,18,2,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::problem::AbortCompilation ,14,25,8,0,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
core::dom::SynchronizedStatement ,106,37,8,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core::dom::DefaultCommentMapper ,393,44,24,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::util::EnclosingMethodAttribute ,50,8,0,0,N,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::ast::ArrayInitializer ,195,71,17,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::codeassist::complete::CompletionOnMemberValueName ,9,0,0,0,N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
internal::compiler::impl::ShortConstant ,37,34,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::search::matching::OrLocator ,124,26,8,0,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::OpenableElementInfo ,6,16,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::ast::IntLiteralMinValue ,7,15,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::search::matching::AndLocator ,74,2,2,0,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::codegen::CharArrayCache ,118,33,4,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::search::matching::MethodLocator ,526,106,57,3,Y,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
core::BufferChangedEvent ,18,21,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::NullBuffer ,3,1,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core::dom::ReturnStatement ,60,33,6,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::CopyPackageFragmentRootOperation ,223,34,12,1,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
internal::core::MultiOperation ,165,27,3,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::ProjectReferenceChange ,77,7,3,1,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::ast::QualifiedSuperReference ,38,37,3,1,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::search::processing::JobManager ,383,115,16,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::search::matching::MemberDeclarationVisitor ,142,0,1,0,N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
core::dom::SimpleName ,124,57,13,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
internal::eval::CodeSnippetToCuMapper ,233,75,17,0,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
internal::core::builder::JavaBuilder ,661,166,31,0,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
core::dom::AnnotationTypeDeclaration ,98,26,6,0,N,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::util::SimpleNameVector ,64,28,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
internal::core::SearchableEnvironment ,144,89,27,1,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core::dom::LabeledStatement ,107,37,9,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::search::AbstractSearchScope ,12,20,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
internal::core::hierarchy::HierarchyBuilder ,242,81,12,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::ast::Argument ,132,79,13,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::codeassist::MissingTypesGuesser ,186,3,3,0,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::util::JavaElementFinder ,89,0,1,0,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::flow::ConditionalFlowInfo ,145,32,4,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::search::JavaWorkspaceScope ,155,46,8,0,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
internal::core::MoveResourceElementsOperation ,9,27,2,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::BatchInitializationMonitor ,55,0,1,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::util::Util ,513,86,25,1,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::CancelableProblemFactory ,9,6,6,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::LocalVariable ,222,34,13,1,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::ast::MethodDeclaration ,198,83,17,2,Y,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::ResolvedBinaryType ,26,7,2,0,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::lookup::InnerEmulationDependency ,4,16,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::CreateTypeOperation ,62,40,7,0,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::hierarchy::RegionBasedHierarchyBuilder ,156,36,7,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::util::PublicScanner ,3449,134,43,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::ast::Block ,97,50,5,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::search::matching::MatchLocator ,1531,380,135,5,Y,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
internal::compiler::ast::ExplicitConstructorCall ,364,84,21,1,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
core::dom::SimpleType ,72,41,9,0,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
